"Item","Type","CriticalSparePart","CriticalEquipment","Warehouse","SourcingGroup","StockDept","StockAll","SupplierCount","UnitCost","LeadTimeMean","LeadTimeStd","CompletedCycles","ProcurementType","ReceivingDate","LinkedEquipment","SparePartHoldingStd","DeptCode"
"Q1078005","보험품","X","X","QHB25","Q_Machining(General)","2","2","1","580000","60","16.97","2","국내","2025-11-06","","","SEO26FF"
"Q1034310","보험품","X","X","QFC01","Q_Hydraulic & Pneumatics","2","13","4","319813","127","95.55","26","수입","2026-07-01","","","SEO26FF"
"Q1072889","계획품","X","X","QFC01","Q_Machining(General)","2","2","3","47520","49.33","20.98","3","국내","2018-10-02","","","SEO26FF"
"Q2024605","보험품","X","X","QFC01","Q_Pneumatic Cylinder","2","2","2","17639000","140","18.38","2","국내","2025-08-12","","","SEO26FF"
"Q2028329","계획품","X","O","QFC01","Q_Drive Joint","1","1","2","491000","61","2.83","2","국내","2022-04-15","FM Crop Shear","","SEO26FF"
"Q1007239","보험품","X","X","QFC01","Q_Belt","5","5","1","14596","40","28.28","2","국내","2016-09-12","FM Main Motor","","SEO26FF"
"Q1021932","보험품","X","X","QFC01","Q_Packing & Seal","2","36","10","1302.58","72.33","65.81","45","수입","2026-06-25","","","SEO26FF"
"Q1072930","계획품","X","X","QHB24","Q_Gear & Gear box","2","2","3","40000000","145.75","48.02","8","국내","2026-07-29","","","SEO26FF"
"Q1073256","보험품","X","X","QFC01","Q_Machining(General)","4","4","1","440000","49.67","1.53","3","국내","2025-10-15","","","SEO26FF"
"Q1080496","계획품","X","O","QFC01","Q_Roller(S)","2","2","5","25000","93.75","126.60","12","국내","2026-08-24","FM Roll Alignment","","SEO26FF"
"Q2026952","보험품","X","X","QFC01","Q_Hydraulic Cylinder","4","4","4","1923333.33","93.67","20.76","12","국내","2026-07-07","","","SEO26FF"
"Q2032488","보험품","X","X","QFC01","Q_Non/Fe Casting Metal(Others)","3","3","2","460000","55","9","3","국내","2024-08-14","","","SEO26FF"
"Q2032490","보험품","X","X","QFC01","Q_Non/Fe Casting Metal(Others)","4","4","2","430000","55","9","3","국내","2024-08-14","","","SEO26FF"
"Q2032491","보험품","X","X","QFC01","Q_Non/Fe Casting Metal(Others)","4","4","2","540000","55","9","3","국내","2024-08-14","","","SEO26FF"
"Q2038307","계획품","X","X","QFC01","Q_Hydraulic Cylinder","4","4","4","950000","84.76","30.52","17","국내","2026-01-26","","","SEO26FF"
"Q2039356","계획품","X","X","QVC03","Q_Machining(General)","1","1","1","3450000","48","4.24","2","국내","2025-11-27","","","SEO26FF"
"Q2040220","계획품","X","X","QFC01","Q_Machinery Common","2","2","1","3634841","70.11","15.43","18","국내","2026-02-23","","","SEO26FF"
"Q2042214","보험품","X","X","QFC01","Q_Drive Coupling","2","2","2","120000","40.60","18.74","5","국내","2025-09-11","","","SEO26FF"
"Q2052411","보험품","X","O","QFC01","Q_Machining(General)","2","2","2","95000","61.33","19.14","3","국내","2023-05-02","FM Main Motor","","SEO26FF"
"Q2054201","보험품","X","X","QFC01","Q_Hydraulic Cylinder","2","3","3","2520000","95","29.53","5","국내","2025-07-29","","","SEO26FF"
"Q2055671","보험품","X","X","QFC01","Q_Machining(General)","8","8","2","1100","59.33","12.44","6","국내","2025-08-21","FM Main Motor","","SEO26FF"
"Q2055672","보험품","X","X","QFC01","Q_Hydraulic Cylinder","1","1","4","680000","107.11","29.76","9","국내","2025-11-05","","","SEO26FF"
"Q2055698","계획품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","4","4","3","387081","61.88","7.70","8","국내","2025-09-15","","","SEO26FF"
"Q2056110","보험품","X","X","QHB27","Q_Hydraulic Cylinder","1","1","1","234707","83.50","30.41","2","국내","2020-01-03","","","SEO26FF"
"Q2059079","보험품","X","X","QFC01","Q_Machining(General)","1","1","1","90000","23","0","1","국내","2017-07-19","","","SEO26FF"
"Q2059080","보험품","X","X","QFC01","Q_Machining(General)","10","10","1","14200","31.67","16.62","3","국내","2018-04-09","","","SEO26FF"
"Q2059081","보험품","X","X","QFC01","Q_Machining(General)","10","10","2","14050","47","15.62","3","국내","2018-05-09","","","SEO26FF"
"Q2059082","보험품","X","X","QFC01","Q_Machining(General)","5","5","2","13000","52.50","16.22","4","국내","2018-05-08","","","SEO26FF"
"Q2059083","보험품","X","X","QFC01","Q_Machining(General)","10","10","2","11800","57.33","9.02","3","국내","2017-07-20","","","SEO26FF"
"Q2059088","보험품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","4","4","5","130000","47.89","16.52","9","국내","2025-05-26","","","SEO26FF"
"Q2060148","보험품","X","X","QFC01","Q_Machining(General)","10","10","2","20000","45.67","15.31","3","국내","2025-04-30","","","SEO26FF"
"Q2060154","보험품","X","X","QFC01","Q_Machining(General)","2","2","1","76000","82","0","1","국내","2019-06-17","","","SEO26FF"
"Q2060222","보험품","X","X","QFC01","Q_Packing & Seal","5","5","2","95880.19","131.64","51.19","11","수입","2024-06-10","","","SEO26FF"
"Q2060332","보험품","X","X","QVC03","Q_Machinery Common","1","1","1","3300693","66.33","30.89","3","국내","2022-06-21","","","SEO26FF"
"Q2060337","보험품","X","X","QFC01","Q_Machinery Common","1","1","1","4621294","49.20","19.72","5","국내","2026-04-29","","","SEO26FF"
"Q2060460","보험품","X","X","QVC03","Q_Hydraulic Cylinder(Critical)","2","3","4","12700000","86.29","37.57","7","국내","2026-04-07","","","SEO26FF"
"Q2060462","계획품","O","X","QFC01","Q_Hydraulic Cylinder","1","1","5","8030000","96.40","21.68","10","국내","2026-07-07","","2","SEO26FF"
"Q2060463","보험품","X","X","QFC01","Q_Hydraulic Cylinder","1","2","2","4970000","84.33","13.58","3","국내","2026-06-30","","","SEO26FF"
"Q2060465","보험품","X","X","QFC01","Q_Hydraulic Cylinder","1","1","3","7497000","86.75","13.79","4","국내","2022-07-20","","","SEO26FF"
"Q2060474","보험품","X","X","QFC01","Q_Hydraulic Cylinder","1","1","2","3490000","86.67","20.82","3","국내","2021-11-29","","","SEO26FF"
"Q2064661","보험품","X","X","QFC01","Q_Pneumatic Cylinder","1","2","2","970000","99.29","55.97","7","국내","2025-02-10","","","SEO26FF"
"Q2064662","계획품","X","X","QHB25","Q_Hydraulic Cylinder","2","2","1","1690000","86","45.25","2","국내","2018-11-29","","","SEO26FF"
"Q2065292","계획품","X","X","QHB24","Q_Hydraulic & Pneumatics","1","6","1","2623132","165.83","32.29","6","국내","2026-04-02","","","SEO26FF"
"Q2066145","보험품","X","X","QFC01","Q_Machining(General)","1","1","1","1050000","64.33","9.45","3","국내","2025-12-10","","","SEO26FF"
"Q2068400","계획품","X","O","QFC01","Q_Packing & Seal","2","2","1","350778","53.33","18.47","9","국내","2026-07-24","FM Crop Shear","","SEO26FF"
"Q2070790","계획품","O","X","QFC01","Q_Rotary/Swivel Joint","1","1","1","2100000","51.88","8.77","8","국내","2024-12-30","","2","SEO26FF"
"Q2070791","계획품","O","X","QFC01","Q_Rotary/Swivel Joint","3","3","1","2150000","59.27","41.20","22","국내","2026-03-10","","1","SEO26FF"
"Q2070796","계획품","O","X","QFC01","Q_Rotary/Swivel Joint","2","2","1","1400000","62","16.79","6","국내","2026-08-13","","1","SEO26FF"
"Q2070797","계획품","O","X","QFC01","Q_Rotary/Swivel Joint","1","1","2","1450000","58.33","33.32","18","국내","2026-03-10","","1","SEO26FF"
"Q2070800","계획품","O","X","QFC01","Q_Rotary/Swivel Joint","4","4","1","2000000","54.43","31.58","21","국내","2026-03-19","","1","SEO26FF"
"Q2070801","계획품","O","O","QFC01","Q_Rotary/Swivel Joint","4","4","2","1300000","51.38","16.92","16","국내","2026-03-10","FM Roll Alignment","2","SEO26FF"
"Q2074351","보험품","X","X","QFC01","Q_Machining(General)","1","1","1","17320000","120","0","1","국내","2025-12-04","","","SEO26FF"
"Q2076004","보험품","X","X","QFC01","Q_Hydraulic & Pneumatics","2","2","1","4071265","279","51.35","6","국내","2026-01-05","","","SEO26FF"
"Q2076458","보험품","X","X","QFC01","Q_Machining(General)","6","6","1","25000","52.33","9.07","3","국내","2025-03-20","","","SEO26FF"
"Q2076463","보험품","X","X","QHB24","Q_Machining(General)","1","1","1","460000","50","0","1","국내","2025-11-13","","","SEO26FF"
"Q2079650","보험품","X","X","QFC01","Q_Machining(General)","2","2","1","16500","54","1.41","2","국내","2021-10-07","","","SEO26FF"
"Q2079652","보험품","X","X","QFC01","Q_Machining(General)","2","2","1","16500","54","1.41","2","국내","2021-10-07","","","SEO26FF"
"Q2079654","보험품","X","X","QFC01","Q_Machining(General)","2","2","1","16500","54","1.41","2","국내","2021-10-07","","","SEO26FF"
"Q2079803","보험품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","8","8","4","1750000","54","17.34","8","국내","2023-03-03","FM Main Motor","","SEO26FF"
"Q2082726","보험품","X","X","QFC01","Q_Machining(General)","10","10","1","23371.88","41.50","6.14","4","국내","2025-04-15","","","SEO26FF"
"Q2082954","보험품","X","X","QFC01","Q_Machining(General)","10","10","2","20000","56","8.49","2","국내","2025-10-15","","","SEO26FF"
"Q2084886","보험품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","4","4","1","960000","58","12.73","2","국내","2018-10-04","","","SEO26FF"
"Q2086017","계획품","X","X","QHB27","Q_Hydraulic Cylinder","1","1","","1250000","72","0","1","(미확인)","2026-06-25","","","SEO26FF"
"Q2086434","보험품","X","X","QFC01","Q_Hydraulic & Pneumatics","2","2","1","1185305","62","12.53","3","국내","2025-08-11","FM Main Motor","","SEO26FF"
"Q2086435","보험품","X","X","QFC01","Q_Hydraulic & Pneumatics","2","2","1","1185305","62","12.53","3","국내","2025-08-11","","","SEO26FF"
"Q2086682","보험품","X","X","QFC01","Q_Packing & Seal","10","12","2","2167","57.50","39.28","4","수입","2025-09-23","","","SEO26FF"
"Q2087261","보험품","X","X","QFC01","Q_Mechanical Seal (Ready)","1","1","1","218106.40","49.64","58.09","33","국내","2026-07-29","","","SEO26FF"
"Q2087833","보험품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","4","4","1","295000","60","0","1","국내","2015-02-04","","","SEO26FF"
"Q2091278","보험품","O","X","QFC01","Q_Hydraulic Cylinder","1","1","2","6880000","129.50","26.16","2","국내","2023-11-08","","2","SEO26FF"
"Q2091279","보험품","O","X","QFC01","Q_Hydraulic Cylinder","1","1","4","5663000","93","28.31","5","국내","2026-04-02","","1","SEO26FF"
"Q2094313","보험품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","2","2","","825000","","","0","(미확인)","","","","SEO26FF"
"Q2095005","계획품","X","X","QHB24","Q_Gear & Gear box","1","1","","810000","","","0","(미확인)","","","","SEO26FF"
"Q2095006","보험품","X","X","QFC01","Q_Gear & Gear box","4","4","1","2908000","118.50","3.54","2","국내","2025-10-29","","","SEO26FF"
"Q2095020","보험품","X","O","QFC01","Q_Machining(General)","10","10","2","15600","44.50","4.95","2","국내","2018-02-13","FM Edge Heater","","SEO26FF"
"Q2095032","계획품","X","X","QFC01","Q_Machining(General)","1","1","1","12500000","104.60","30.61","5","국내","2026-03-31","","","SEO26FF"
"Q2095281","보험품","X","X","QVC03","Q_Machining(General)","1","1","2","1590000","61.33","8.50","3","국내","2025-06-12","","","SEO26FF"
"Q2095868","보험품","X","X","QFC01","Q_Machining(General)","1","1","1","56000","66","0","1","국내","2022-07-18","","","SEO26FF"
"Q2096490","보험품","X","X","QFC01","Q_Machining(General)","1","1","3","1253120","60.33","5.86","3","국내","2017-09-29","","","SEO26FF"
"Q2097306","보험품","X","O","QFC01","Q_Ball & Roller BRG","12","16","2","10830.36","62","34.00","11","수입","2024-01-15","FM Main Motor","","SEO26FF"
"Q2097711","계획품","X","X","QFC01","Q_Hydraulic Cylinder","1","1","4","500000","68.93","24.69","30","국내","2026-08-25","","","SEO26FF"
"Q2097972","계획품","X","X","QFC01","Q_Machinery Common","2","3","1","2079994","42","18.23","19","국내","2026-03-12","","","SEO26FF"
"Q2098351","계획품","X","X","QHB25","Q_Machining(General)","2","2","2","660000","68","19.08","3","국내","2026-04-16","","","SEO26FF"
"Q2098353","계획품","X","X","QHB25","Q_Machining(General)","2","2","1","550000","67.33","25.58","3","국내","2026-04-30","","","SEO26FF"
"Q2098900","계획품","X","X","QVC03","Q_Machining(General)","1","1","1","9500000","59","0","1","국내","2020-09-24","","","SEO26FF"
"Q2100582","계획품","X","O","QFC01","Q_Critical Bearing","8","14","6","794098.35","230.45","127.00","40","수입","2026-07-02","FM Hot Leveller","","SEO26FF"
"Q2101008","보험품","X","O","QFC01","Q_Rubber Class (General)","8","8","2","14444","46.50","4.20","4","국내","2024-08-26","FM Screw Down","","SEO26FF"
"Q2101009","보험품","X","O","QFC01","Q_Rubber Class (General)","4","4","2","13412","46.50","4.20","4","국내","2024-08-26","FM Screw Down","","SEO26FF"
"Q2101010","보험품","X","O","QFC01","Q_Rubber Class (General)","8","8","2","14444","46.50","4.20","4","국내","2024-08-26","FM Screw Down","","SEO26FF"
"Q2101882","계획품","X","X","QVC03","Q_Machining(General)","1","1","1","8900000","77","18.52","3","국내","2026-07-28","","","SEO26FF"
"Q2102570","계획품","X","X","QHB25","Q_Machining(General)","2","2","3","1280000","60","8.19","5","국내","2026-08-11","","","SEO26FF"
"Q2104247","계획품","X","X","QFC01","Q_Grease Pump","2","5","2","197055","69.57","53.50","7","수입","2025-07-14","","","SEO26FF"
"Q2106112","보험품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","8","8","1","875000","58","12.73","2","국내","2015-02-16","","","SEO26FF"
"Q2110732","보험품","X","O","QFC01","Q_Machining(General)","1","2","1","16500000","120","0","1","국내","2026-03-10","FM Roll Alignment","","SEO26FF"
"Q2110733","보험품","X","O","QFC01","Q_Machining(General)","1","1","1","16500000","99","29.70","2","국내","2026-03-10","FM Roll Alignment","","SEO26FF"
"Q2116016","계획품","X","O","QFC01","Q_Packing & Seal","8","8","1","404107","66.78","26.52","32","국내","2026-05-26","FM Spindle 감속기","","SEO26FF"
"Q2116265","계획품","X","X","QHB24","Q_Packing & Seal","5","5","1","640686","75.97","27.52","33","국내","2026-05-26","","","SEO26FF"
"Q2116694","보험품","X","X","QVC03","Q_Machinery Common","1","1","1","1479621","55.20","25.55","5","국내","2023-02-27","","","SEO26FF"
"Q2116695","보험품","X","X","QFC01","Q_Machinery Common","1","1","1","1400392","55.40","26.46","5","국내","2026-04-13","","","SEO26FF"
"Q2117078","보험품","X","X","QHB27","Q_Hydraulic & Pneumatics","8","8","1","10307000","171.92","59.21","13","국내","2026-07-09","","","SEO26FF"
"Q2118354","보험품","X","X","QFC01","Q_Packing & Seal","20","20","1","14584","41","7.62","5","국내","2022-01-21","","","SEO26FF"
"Q2118643","보험품","X","X","QHB24","Q_Hydraulic & Pneumatics","2","2","1","383420","199.50","57.63","10","국내","2026-03-10","","","SEO26FF"
"Q2119613","보험품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","4","4","3","80000","56.50","19.43","4","국내","2024-10-14","","","SEO26FF"
"Q2120491","보험품","X","O","QFC01","Q_Drive Coupling","6","6","2","130000","48.90","21.12","10","국내","2025-09-01","FM Spindle 감속기","","SEO26FF"
"Q2122540","계획품","X","X","QFC01","Q_Machining(General)","1","1","1","11500000","115.25","31.13","4","국내","2026-03-31","FM Main Motor","","SEO26FF"
"Q2125396","계획품","X","X","QFC01","Q_Machining(General)","2","2","4","13691500","100.78","34.48","9","국내","2025-06-30","","","SEO26FF"
"Q2125412","계획품","X","X","QFC01","Q_Packing & Seal","2","2","1","16049125","108.22","38.13","9","국내","2026-06-08","","","SEO26FF"
"Q2125413","계획품","X","X","QFC01","Q_Packing & Seal","2","2","1","14394278","94.90","24.14","20","국내","2026-05-18","","","SEO26FF"
"Q2125462","계획품","X","X","QFC01","Q_Machining(General)","2","2","2","14630000","82.29","29.72","14","국내","2026-05-11","","","SEO26FF"
"Q2125464","계획품","X","X","QVC03","Q_Machining(General)","2","2","2","18690000","86.38","15.86","8","국내","2025-07-08","","","SEO26FF"
"Q2126080","계획품","X","X","QFC01","Q_Machining(General)","1","1","1","3485350","83","0","1","국내","2019-11-14","","","SEO26FF"
"Q2126459","보험품","X","X","QFC01","Q_Machining(General)","40","40","2","2860","43","9.90","2","국내","2016-10-28","","","SEO26FF"
"Q2133117","보험품","X","X","QFC01","Q_Cast Iron (S)","1","1","1","138716","63","0","1","국내","2016-10-25","","","SEO26FF"
"Q2133118","보험품","X","X","QFC01","Q_Cast Iron (S)","2","2","1","374532","57.67","20.84","3","국내","2019-08-26","","","SEO26FF"
"Q2133119","보험품","X","X","QFC01","Q_Cast Iron (S)","1","1","2","237761","54","11.31","2","국내","2016-12-12","","","SEO26FF"
"Q2135729","보험품","X","X","QVC07","Q_Steel Material","11","28","6","355942","30.83","18.50","94","수입","2026-08-26","","","SEO26FF"
"Q2137371","계획품","X","X","QFC01","Q_Machining(General)","1","1","","2705000","","","0","(미확인)","","","","SEO26FF"
"Q2137920","계획품","X","X","QFC01","Q_Drive Joint","4","5","4","4720000","68.43","21.77","7","국내","2023-06-02","","","SEO26FF"
"Q2137922","계획품","X","X","QVC03","Q_Drive Joint","2","2","2","840000","68","12.73","2","국내","2026-06-25","","","SEO26FF"
"Q2139926","보험품","O","X","QFC01","Q_Rotary/Swivel Joint","1","1","2","1100000","58.80","19.29","10","국내","2026-03-10","","1","SEO26FF"
"Q2140042","보험품","X","X","QFC01","Q_Machining(General)","5","5","1","449400","65","0","1","국내","2017-10-20","","","SEO26FF"
"Q2141016","보험품","X","X","QFC01","Q_Drive Coupling","2","2","1","70000","26","0","1","국내","2017-02-28","","","SEO26FF"
"Q2141021","보험품","X","X","QFC01","Q_Cast Iron (S)","2","2","","319028","53","0","1","(미확인)","2017-03-27","","","SEO26FF"
"Q2142284","계획품","X","O","QFC01","Q_Non/Fe Casting Metal(Copper)","10","10","2","50536","92.60","24.68","5","국내","2025-11-10","FM Main Motor","","SEO26FF"
"Q2142898","계획품","X","O","QFC01","Q_Machining(General)","4","4","3","230000","58.33","14.91","6","국내","2024-01-12","FM Pinion Stand","","SEO26FF"
"Q2143052","보험품","X","X","QFC01","Q_Machining(General)","6","6","1","112500","58","2.83","2","국내","2022-03-22","","","SEO26FF"
"Q2144319","계획품","X","X","QFC01","Q_Hydraulic & Pneumatics","1","2","1","639034","130.80","35.23","5","국내","2020-06-04","","","SEO26FF"
"Q2146787","계획품","X","O","QFC01","Q_Hydraulic & Pneumatics","1","1","1","2793197","222","17.44","3","국내","2024-06-11","QOC Servo","","SEO26FF"
"Q2147980","계획품","X","X","QFC01","Q_Machining(General)","2","2","1","35000","66","0","1","국내","2025-05-12","","","SEO26FF"
"Q2154362","계획품","X","X","QFC01","Q_Hydraulic & Pneumatics","2","3","1","988055.22","156.80","72.25","15","수입","2026-07-30","FM Main Motor","","SEO26FF"
"Q2162230","계획품","X","X","QHB27","Q_Rotary/Swivel Joint","2","2","3","210000","51.80","17.89","10","국내","2026-07-29","","","SEO26FF"
"Q2162413","계획품","X","O","QHB24","Q_Machinery Common","2","2","","794143","","","0","(미확인)","","FM Screw Down","","SEO26FF"
"Q2163394","계획품","X","X","QFC01","Q_Machining(General)","2","2","1","2635000","53","0","1","국내","2019-03-11","FM Main Motor","","SEO26FF"
"Q2166135","계획품","X","X","QHB25","Q_Hydraulic & Pneumatics","2","7","1","96669","61.58","41.17","12","국내","2026-03-05","","","SEO26FF"
"Q2166833","계획품","X","X","QFC01","Q_Machining(General)","4","4","1","129800","53.50","27.27","8","국내","2018-04-12","","","SEO26FF"
"Q2168061","계획품","X","X","QFC01","Q_Hydraulic Cylinder","2","2","6","350000","81.69","20.81","13","국내","2024-10-10","","","SEO26FF"
"Q2168437","계획품","X","X","QFC01","Q_Drive Coupling","2","2","2","250000","57.44","12.13","9","국내","2021-05-14","","","SEO26FF"
"Q2169758","계획품","X","X","QHB24","Q_Machinery Common","1","1","1","2007915","37.67","15.91","6","국내","2026-03-11","","","SEO26FF"
"Q2173282","계획품","X","X","QFC01","Q_Hydraulic Cylinder","1","3","4","4769000","108.71","19.59","7","국내","2023-09-08","","","SEO26FF"
"Q2176849","보험품","X","X","QVC03","Q_Gear & Gear box","1","1","","46720558","","","0","(미확인)","","","","SEO26FF"
"Q2177492","계획품","X","O","QFC01","Q_Drive Joint","1","1","1","1150000","52","4.24","2","국내","2024-07-10","FM Hot Leveller","","SEO26FF"
"Q2177493","계획품","X","X","QFC01","Q_Drive Joint","1","1","1","1180000","47","4.24","2","국내","2023-04-28","","","SEO26FF"
"Q2179246","보험품","X","X","QFC01","Q_Machining(General)","2","2","1","1097000","82","0","1","국내","2019-06-17","","","SEO26FF"
"Q2184244","계획품","X","O","QHB24","Q_Machining(General)","1","1","2","3150000","62","6.93","3","국내","2026-07-27","FM Crop Shear","","SEO26FF"
"Q2184478","계획품","X","O","QHB24","Q_Machining(General)","1","1","2","2790000","60.33","8.74","3","국내","2026-07-22","FM Crop Shear","","SEO26FF"
"Q2184712","계획품","X","X","QFC01","Q_Machining(General)","2","2","1","2454000","69","0","1","국내","2020-02-10","","","SEO26FF"
"Q2187474","보험품","X","X","QFC01","Q_Machining(General)","7","7","","824661","","","0","(미확인)","","FM Main Motor","","SEO26FF"
"Q2190703","계획품","X","O","QFC01","Q_Hydraulic Cylinder","1","1","3","2140000","107.75","30.31","4","국내","2023-12-19","FM Hot Leveller","","SEO26FF"
"Q2191618","계획품","X","X","QFC01","Q_Packing & Seal","30","30","4","46652.64","116.50","78.72","22","수입","2026-06-08","","","SEO26FF"
"Q2191857","보험품","X","X","QFC01","Q_Packing & Seal","10","41","4","1805","65.50","25.00","8","수입","2025-10-13","","","SEO26FF"
"Q2194210","계획품","X","X","QHB25","Q_Cast Steel (S)","3","3","","920800","","","0","(미확인)","","","","SEO26FF"
"Q2194211","계획품","X","X","QHB25","Q_Cast Steel (S)","3","3","","917000","","","0","(미확인)","","","","SEO26FF"
"Q2194827","보험품","X","X","QFC01","Q_Wheel","2","2","4","551000","60.20","17.92","5","국내","2019-07-17","","","SEO26FF"
"Q2195767","계획품","X","X","QHB25","Q_Machining(General)","2","2","","289659","","","0","(미확인)","","","","SEO26FF"
"Q2200004","보험품","X","X","QFC01","Q_Machining(General)","16","16","1","210000","65","0","1","국내","2017-02-15","","","SEO26FF"
"Q2200005","보험품","X","X","QFC01","Q_Machining(General)","16","16","1","515900","64","0","1","국내","2017-02-14","","","SEO26FF"
"Q2200464","보험품","X","X","QFC01","Q_Rubber Class (General)","8","8","2","14444","44.40","4.72","5","국내","2024-08-26","","","SEO26FF"
"Q2200465","보험품","X","X","QFC01","Q_Rubber Class (General)","8","8","2","14444","44.40","4.72","5","국내","2024-08-26","","","SEO26FF"
"Q2200466","보험품","X","X","QFC01","Q_Rubber Class (General)","4","4","3","13412","59.75","29.65","4","국내","2024-08-26","","","SEO26FF"
"Q2202508","보험품","X","O","QFC01","Q_Hydraulic Cylinder","1","1","2","2630000","86","2.83","2","국내","2015-10-21","FM Roll Alignment","","SEO26FF"
"Q2206557","보험품","X","X","QFC01","Q_Fitting","4","5","6","32491.84","76.14","93.64","37","수입","2026-03-10","","","SEO26FF"
"Q2208062","보험품","X","X","QFC01","Q_Hydraulic & Pneumatics","10","36","3","19068","43.56","29.60","16","수입","2026-02-19","","","SEO26FF"
"Q2210205","계획품","X","X","QFC01","Q_Cast Steel (S)","4","4","2","2366496","134.67","94.56","3","국내","2021-07-27","Stand Main TR","","SEO26FF"
"Q2217711","계획품","X","X","QFC01","Q_Machining(General)","1","1","2","455000","74.50","9.19","2","국내","2017-02-06","","","SEO26FF"
"Q2223743","계획품","X","X","QFC01","Q_Hydraulic Cylinder","2","2","3","5025000","73","14.64","8","국내","2026-05-26","","","SEO26FF"
"Q2224741","보험품","X","X","QHB25","Q_Hydraulic Cylinder","2","2","2","4920000","84.67","22.12","3","국내","2024-11-25","","","SEO26FF"
"Q2228118","보험품","X","X","QFC01","Q_Roller(S)","1","1","1","900000","62","0","1","국내","2023-09-08","","","SEO26FF"
"Q2228203","계획품","X","X","QHB27","Q_Machining(General)","2","2","1","2260000","61.50","8.06","4","국내","2026-05-19","","","SEO26FF"
"Q2228264","보험품","X","O","QFC01","Q_Non/Fe Casting Metal(Copper)","2","2","3","140000","45.33","12.41","9","국내","2022-09-14","FM Main Motor","","SEO26FF"
"Q2233578","계획품","X","X","QFC01","Q_Cast Steel (S)","2","2","2","2796768","134.67","94.56","3","국내","2021-07-27","Stand Main TR","","SEO26FF"
"Q2234798","계획품","O","X","QFC01","Q_Drive Joint","1","1","1","9000000","79","32.70","3","국내","2022-01-05","","2","SEO26FF"
"Q2235169","보험품","X","X","QFC01","Q_Machining(General)","1","1","1","1440000","54.25","5.06","4","국내","2022-01-14","","","SEO26FF"
"Q2235172","보험품","X","X","QFC01","Q_Machining(General)","1","1","1","1440000","54.25","5.06","4","국내","2022-01-14","","","SEO26FF"
"Q4002139","보험품","X","X","QFC01","Q_Machining(General)","1","1","1","1025000","54","0","1","국내","2023-04-13","","","SEO26FF"
"Q4003811","보험품","X","X","QFC01","Q_Machining(General)","1","1","","1351680","","","0","(미확인)","","","","SEO26FF"
"Q4005375","계획품","X","X","QHB24","Q_Machining(General)","2","2","1","5210000","86.50","6.36","2","국내","2026-05-28","","","SEO26FF"
"Q4008483","계획품","X","X","QFC01","Q_Resinoid Class (General)","8","8","","26000","","","0","(미확인)","","","","SEO26FF"
"Q4008484","계획품","X","X","QFC01","Q_Resinoid Class (General)","10","10","1","12896","35","5.66","2","국내","2020-04-10","","","SEO26FF"
"Q4008971","계획품","X","X","QFC01","Q_Rotary/Swivel Joint","2","7","3","210000","98.33","81.44","6","수입","2026-03-03","","","SEO26FF"
"Q4011271","계획품","X","X","QFC01","Q_Packing & Seal","5","5","1","3177","52","0","1","국내","2016-08-12","","","SEO26FF"
"Q4012998","보험품","X","O","QFC01","Q_Machining(General)","2","2","","300000","","","0","(미확인)","","Walking Beam 기어베어링","","SEO26FF"
"Q4013000","보험품","X","O","QFC01","Q_Wheel","1","1","","2461000","","","0","(미확인)","","Walking Beam 기어베어링","","SEO26FF"
"Q4014292","계획품","X","X","QFC01","Q_Roller(S)","8","8","1","120000","52","9.90","2","국내","2020-05-06","","","SEO26FF"
"Q4015362","보험품","X","X","QFC01","Q_Wheel","1","1","1","660000","67","0","1","국내","2017-02-17","","","SEO26FF"
"Q4015363","보험품","X","X","QFC01","Q_Machining(General)","1","1","1","248000","57","0","1","국내","2017-02-07","","","SEO26FF"
"Q4015364","보험품","X","X","QFC01","Q_Machining(General)","1","1","1","318000","57","0","1","국내","2017-02-07","","","SEO26FF"
"Q4015365","보험품","X","X","QFC01","Q_Machining(General)","1","1","1","59566.67","56","0","1","국내","2017-02-06","","","SEO26FF"
"Q4015405","계획품","X","O","QFC01","Q_Machining(General)","1","1","2","2119000","60.40","10.55","5","국내","2025-09-02","FM Roll Alignment","","SEO26FF"
"Q4015414","보험품","X","X","QFC01","Q_Machining(General)","1","1","1","39600","52","0","1","국내","2017-02-02","","","SEO26FF"
"Q4015950","계획품","X","X","QHB25","Q_Machining(General)","1","2","1","4200000","69.50","28.99","2","국내","2026-05-15","","","SEO26FF"
"Q4015951","계획품","X","X","QHB25","Q_Machining(General)","1","2","1","4200000","69.50","28.99","2","국내","2026-05-15","","","SEO26FF"
"Q4015952","계획품","X","X","QHB25","Q_Machining(General)","1","2","2","4480000","73","24.04","2","국내","2026-05-15","","","SEO26FF"
"Q4015953","계획품","X","X","QHB25","Q_Machining(General)","1","2","1","4480000","69.50","28.99","2","국내","2026-05-15","","","SEO26FF"
