"Equipment","MaintKind","StopStart","ReStart","StopHours","Manpower","Factory","Line","DeptCode"
"FM Edge Heater","대수리","2025-11-13","2025-11-23","240","216","1열연","마무리압연 전 엣지히터라인","SEO26FF"
"FM Main Motor","대수리","2025-11-13","2025-11-23","240","216","1열연","마무리압연 1호기 라인","SEO26FF"
"FM Metal 베어링","대수리","2025-11-13","2025-11-23","240","216","1열연","마무리압연 1호기 라인","SEO26FF"
"FM Spindle 감속기","대수리","2025-11-13","2025-11-23","240","216","1열연","마무리압연 1호기 라인","SEO26FF"
"FM Roll Alignment","대수리","2025-11-13","2025-11-23","240","216","1열연","마무리압연 1호기 라인","SEO26FF"
"FM Screw Down","대수리","2025-11-13","2025-11-23","240","216","1열연","마무리압연 1호기 라인","SEO26FF"
"FM Pinion Stand","대수리","2025-11-13","2025-11-23","240","216","1열연","연속 마무리압연라인","SEO26FF"
"QOC Servo","대수리","2025-11-13","2025-11-23","240","216","1열연","연속 마무리압연라인","SEO26FF"
"Interstand Cooling Header","대수리","2025-11-13","2025-11-23","240","216","1열연","압연기 사이 냉각라인","SEO26FF"
"Laminar Cooling Bank","대수리","2025-11-13","2025-11-23","240","216","1열연","층류 냉각라인","SEO26FF"
"Overhead Crane","대수리","2026-12-04","2026-12-14","240","216","1열연","슬래브 입고라인","SEO26FF"
"가열로 Pick Up 크레인","대수리","2026-12-04","2026-12-14","240","216","1열연","슬래브 장입라인","SEO26FF"
"Table Roller 기어박스","대수리","2026-12-04","2026-12-14","240","216","1열연","가열로 입측라인","SEO26FF"
"Reheating Furnace","대수리","2026-12-04","2026-12-14","240","216","1열연","가열로라인","SEO26FF"
"Walking Beam","대수리","2026-12-04","2026-12-14","240","216","1열연","가열로라인","SEO26FF"
"Walking Beam 기어베어링","대수리","2026-12-04","2026-12-14","240","216","1열연","가열로라인","SEO26FF"
"EP 집진기 TR","대수리","2026-12-04","2026-12-14","240","216","1열연","가열로라인","SEO26FF"
"High-Pressure Descaler","대수리","2026-12-04","2026-12-14","240","216","1열연","조압연 전 스케일 제거라인","SEO26FF"
"Descaling Pump","대수리","2026-12-04","2026-12-14","240","216","1열연","조압연 전 스케일 제거라인","SEO26FF"
"RM Descaling Pump","대수리","2026-12-04","2026-12-14","240","216","1열연","조압연 전 스케일 제거라인","SEO26FF"
"Edger Mill","대수리","2026-12-04","2026-12-14","240","216","1열연","폭압연라인","SEO26FF"
"E2A/B Motor","대수리","2026-12-04","2026-12-14","240","216","1열연","폭압연라인","SEO26FF"
"Vertical Mill","대수리","2026-12-04","2026-12-14","240","216","1열연","수직압연라인","SEO26FF"
"RM Main Motor","대수리","2026-12-04","2026-12-14","240","216","1열연","조압연 1호기 라인","SEO26FF"
"RM Stand Adjust","대수리","2026-12-04","2026-12-14","240","216","1열연","조압연 1호기 라인","SEO26FF"
"Stand Main TR","대수리","2026-12-04","2026-12-14","240","216","1열연","조압연 1호기 라인","SEO26FF"
"RM Screw Down","대수리","2026-12-04","2026-12-14","240","216","1열연","조압연 1호기 라인","SEO26FF"
"Roll Bending System","대수리","2026-12-04","2026-12-14","240","216","1열연","조압연 4호기 라인","SEO26FF"
"Crop Shear","대수리","2026-12-04","2026-12-14","240","216","1열연","중간소재 이송라인","SEO26FF"
"Transfer Bar Heater","대수리","2026-12-04","2026-12-14","240","216","1열연","중간소재 보온라인","SEO26FF"
"FM Edge Heater","대수리","2026-12-04","2026-12-14","240","216","1열연","마무리압연 전 엣지히터라인","SEO26FF"
"FM Main Motor","대수리","2026-12-04","2026-12-14","240","216","1열연","마무리압연 1호기 라인","SEO26FF"
"FM Metal 베어링","대수리","2026-12-04","2026-12-14","240","216","1열연","마무리압연 1호기 라인","SEO26FF"
"FM Spindle 감속기","대수리","2026-12-04","2026-12-14","240","216","1열연","마무리압연 1호기 라인","SEO26FF"
"FM Roll Alignment","대수리","2026-12-04","2026-12-14","240","216","1열연","마무리압연 1호기 라인","SEO26FF"
"FM Screw Down","대수리","2026-12-04","2026-12-14","240","216","1열연","마무리압연 1호기 라인","SEO26FF"
"FM Pinion Stand","대수리","2026-12-04","2026-12-14","240","216","1열연","연속 마무리압연라인","SEO26FF"
"QOC Servo","대수리","2026-12-04","2026-12-14","240","216","1열연","연속 마무리압연라인","SEO26FF"
"Interstand Cooling Header","대수리","2026-12-04","2026-12-14","240","216","1열연","압연기 사이 냉각라인","SEO26FF"
"Laminar Cooling Bank","대수리","2026-12-04","2026-12-14","240","216","1열연","층류 냉각라인","SEO26FF"
"Overhead Crane","대수리","2026-12-07","2026-12-17","240","216","1열연","슬래브 입고라인","SEO26FF"
"가열로 Pick Up 크레인","대수리","2026-12-07","2026-12-17","240","216","1열연","슬래브 장입라인","SEO26FF"
"Table Roller 기어박스","대수리","2026-12-07","2026-12-17","240","216","1열연","가열로 입측라인","SEO26FF"
"Reheating Furnace","대수리","2026-12-07","2026-12-17","240","216","1열연","가열로라인","SEO26FF"
"Walking Beam","대수리","2026-12-07","2026-12-17","240","216","1열연","가열로라인","SEO26FF"
"Walking Beam 기어베어링","대수리","2026-12-07","2026-12-17","240","216","1열연","가열로라인","SEO26FF"
"EP 집진기 TR","대수리","2026-12-07","2026-12-17","240","216","1열연","가열로라인","SEO26FF"
"High-Pressure Descaler","대수리","2026-12-07","2026-12-17","240","216","1열연","조압연 전 스케일 제거라인","SEO26FF"
"Descaling Pump","대수리","2026-12-07","2026-12-17","240","216","1열연","조압연 전 스케일 제거라인","SEO26FF"
"RM Descaling Pump","대수리","2026-12-07","2026-12-17","240","216","1열연","조압연 전 스케일 제거라인","SEO26FF"
"Edger Mill","대수리","2026-12-07","2026-12-17","240","216","1열연","폭압연라인","SEO26FF"
"E2A/B Motor","대수리","2026-12-07","2026-12-17","240","216","1열연","폭압연라인","SEO26FF"
"Vertical Mill","대수리","2026-12-07","2026-12-17","240","216","1열연","수직압연라인","SEO26FF"
"RM Main Motor","대수리","2026-12-07","2026-12-17","240","216","1열연","조압연 1호기 라인","SEO26FF"
"RM Stand Adjust","대수리","2026-12-07","2026-12-17","240","216","1열연","조압연 1호기 라인","SEO26FF"
"Stand Main TR","대수리","2026-12-07","2026-12-17","240","216","1열연","조압연 1호기 라인","SEO26FF"
"RM Screw Down","대수리","2026-12-07","2026-12-17","240","216","1열연","조압연 1호기 라인","SEO26FF"
"Roll Bending System","대수리","2026-12-07","2026-12-17","240","216","1열연","조압연 4호기 라인","SEO26FF"
"Crop Shear","대수리","2026-12-07","2026-12-17","240","216","1열연","중간소재 이송라인","SEO26FF"
"Transfer Bar Heater","대수리","2026-12-07","2026-12-17","240","216","1열연","중간소재 보온라인","SEO26FF"
"FM Edge Heater","대수리","2026-12-07","2026-12-17","240","216","1열연","마무리압연 전 엣지히터라인","SEO26FF"
"FM Main Motor","대수리","2026-12-07","2026-12-17","240","216","1열연","마무리압연 1호기 라인","SEO26FF"
"FM Metal 베어링","대수리","2026-12-07","2026-12-17","240","216","1열연","마무리압연 1호기 라인","SEO26FF"
"FM Spindle 감속기","대수리","2026-12-07","2026-12-17","240","216","1열연","마무리압연 1호기 라인","SEO26FF"
"FM Roll Alignment","대수리","2026-12-07","2026-12-17","240","216","1열연","마무리압연 1호기 라인","SEO26FF"
"FM Screw Down","대수리","2026-12-07","2026-12-17","240","216","1열연","마무리압연 1호기 라인","SEO26FF"
"FM Pinion Stand","대수리","2026-12-07","2026-12-17","240","216","1열연","연속 마무리압연라인","SEO26FF"
"QOC Servo","대수리","2026-12-07","2026-12-17","240","216","1열연","연속 마무리압연라인","SEO26FF"
"Interstand Cooling Header","대수리","2026-12-07","2026-12-17","240","216","1열연","압연기 사이 냉각라인","SEO26FF"
"Laminar Cooling Bank","대수리","2026-12-07","2026-12-17","240","216","1열연","층류 냉각라인","SEO26FF"
"Pickling Tank","대수리","2010-09-09","2010-09-15","158.98","","1POL","산세라인","SEO26FF"
"Acid Circulation Pump","대수리","2010-09-09","2010-09-15","158.98","","1POL","산세라인","SEO26FF"
"Acid Heating System","대수리","2010-09-09","2010-09-15","158.98","","1POL","산세 탕조라인","SEO26FF"
"Rinse Tank","대수리","2010-09-09","2010-09-15","158.98","","1POL","산세 후 수세라인","SEO26FF"
"Rinse Water Pump","대수리","2010-09-09","2010-09-15","158.98","","1POL","산세 후 수세라인","SEO26FF"
"Hot Air Dryer","대수리","2010-09-09","2010-09-15","158.98","","1POL","산세 후 건조라인","SEO26FF"
"Oiler","대수리","2010-09-09","2010-09-15","158.98","","1POL","유처리라인","SEO26FF"
"Oil Filtration Unit","대수리","2010-09-09","2010-09-15","158.98","","1POL","유처리라인","SEO26FF"
"Tension Reel","대수리","2010-09-09","2010-09-15","158.98","","1POL","POL 출측라인","SEO26FF"
"Recoiler","대수리","2010-09-09","2010-09-15","158.98","","1POL","POL 코일 재권취라인","SEO26FF"
"Uncoiler","대수리","2010-09-09","2010-09-15","158.98","","1POL","POL 코일 재권취라인","SEO26FF"
"Crop Shear","대수리","2010-09-09","2010-09-15","158.98","","1POL","POL 코일 절단·분할라인","SEO26FF"
"Slitter","대수리","2010-09-09","2010-09-15","158.98","","1POL","POL 코일 절단·분할라인","SEO26FF"
"Coil Transfer Car","대수리","2010-09-09","2010-09-15","158.98","","1POL","POL 코일 저장·출하라인","SEO26FF"
"Roll Grinding Machine","대수리","2010-09-09","2010-09-15","158.98","","1POL","롤 연삭라인","SEO26FF"
"Roll Change Car","대수리","2010-09-09","2010-09-15","158.98","","1POL","롤 조립·교체라인","SEO26FF"
"Lubrication Unit","대수리","2010-09-09","2010-09-15","158.98","","1POL","압연유·윤활유 공급라인","SEO26FF"
"Cooling Water Pump","대수리","2010-09-09","2010-09-15","158.98","","1POL","냉각수 순환라인","SEO26FF"
"Cooling Tower","대수리","2010-09-09","2010-09-15","158.98","","1POL","냉각수 순환라인","SEO26FF"
"Wastewater Treatment Tank","대수리","2010-09-09","2010-09-15","158.98","","1POL","폐수·산세액 처리라인","SEO26FF"
"Acid Regeneration Plant","대수리","2010-09-09","2010-09-15","158.98","","1POL","산세 산액 재생라인","SEO26FF"
"Scale Pit","대수리","2010-09-09","2010-09-15","158.98","","1POL","열연 공정 배수·슬러지 처리라인","SEO26FF"
"Sludge Dewatering Unit","대수리","2010-09-09","2010-09-15","158.98","","1POL","열연 공정 배수·슬러지 처리라인","SEO26FF"
"Overhead Crane","대수리","2010-09-09","2010-09-15","158.98","","1POL","코일 야드 운영라인","SEO26FF"
"Entry Coil Car","대수리","2010-09-09","2010-09-15","158.98","","1POL","산세 입측라인","SEO26FF"
"Payoff Reel","대수리","2010-09-09","2010-09-15","158.98","","1POL","산세 입측라인","SEO26FF"
"Entry Pinch Roll","대수리","2010-09-09","2010-09-15","158.98","","1POL","산세 입측라인","SEO26FF"
"Coil Uncoiler","대수리","2010-09-09","2010-09-15","158.98","","1POL","산세 전 코일 준비라인","SEO26FF"
"Coil Opener","대수리","2010-09-09","2010-09-15","158.98","","1POL","산세 전 코일 준비라인","SEO26FF"
"Coil Preparation Table","대수리","2010-09-09","2010-09-15","158.98","","1POL","산세 전 코일 준비라인","SEO26FF"
"Pickling Tank","대수리","2011-10-04","2011-10-11","168","","1POL","산세라인","SEO26FF"
"Acid Circulation Pump","대수리","2011-10-04","2011-10-11","168","","1POL","산세라인","SEO26FF"
"Acid Heating System","대수리","2011-10-04","2011-10-11","168","","1POL","산세 탕조라인","SEO26FF"
"Rinse Tank","대수리","2011-10-04","2011-10-11","168","","1POL","산세 후 수세라인","SEO26FF"
"Rinse Water Pump","대수리","2011-10-04","2011-10-11","168","","1POL","산세 후 수세라인","SEO26FF"
"Hot Air Dryer","대수리","2011-10-04","2011-10-11","168","","1POL","산세 후 건조라인","SEO26FF"
"Oiler","대수리","2011-10-04","2011-10-11","168","","1POL","유처리라인","SEO26FF"
"Oil Filtration Unit","대수리","2011-10-04","2011-10-11","168","","1POL","유처리라인","SEO26FF"
"Tension Reel","대수리","2011-10-04","2011-10-11","168","","1POL","POL 출측라인","SEO26FF"
"Recoiler","대수리","2011-10-04","2011-10-11","168","","1POL","POL 코일 재권취라인","SEO26FF"
"Uncoiler","대수리","2011-10-04","2011-10-11","168","","1POL","POL 코일 재권취라인","SEO26FF"
"Crop Shear","대수리","2011-10-04","2011-10-11","168","","1POL","POL 코일 절단·분할라인","SEO26FF"
"Slitter","대수리","2011-10-04","2011-10-11","168","","1POL","POL 코일 절단·분할라인","SEO26FF"
"Coil Transfer Car","대수리","2011-10-04","2011-10-11","168","","1POL","POL 코일 저장·출하라인","SEO26FF"
"Roll Grinding Machine","대수리","2011-10-04","2011-10-11","168","","1POL","롤 연삭라인","SEO26FF"
"Roll Change Car","대수리","2011-10-04","2011-10-11","168","","1POL","롤 조립·교체라인","SEO26FF"
"Lubrication Unit","대수리","2011-10-04","2011-10-11","168","","1POL","압연유·윤활유 공급라인","SEO26FF"
"Cooling Water Pump","대수리","2011-10-04","2011-10-11","168","","1POL","냉각수 순환라인","SEO26FF"
"Cooling Tower","대수리","2011-10-04","2011-10-11","168","","1POL","냉각수 순환라인","SEO26FF"
"Wastewater Treatment Tank","대수리","2011-10-04","2011-10-11","168","","1POL","폐수·산세액 처리라인","SEO26FF"
"Acid Regeneration Plant","대수리","2011-10-04","2011-10-11","168","","1POL","산세 산액 재생라인","SEO26FF"
"Scale Pit","대수리","2011-10-04","2011-10-11","168","","1POL","열연 공정 배수·슬러지 처리라인","SEO26FF"
"Sludge Dewatering Unit","대수리","2011-10-04","2011-10-11","168","","1POL","열연 공정 배수·슬러지 처리라인","SEO26FF"
"Overhead Crane","대수리","2011-10-04","2011-10-11","168","","1POL","코일 야드 운영라인","SEO26FF"
"Entry Coil Car","대수리","2011-10-04","2011-10-11","168","","1POL","산세 입측라인","SEO26FF"
"Payoff Reel","대수리","2011-10-04","2011-10-11","168","","1POL","산세 입측라인","SEO26FF"
"Entry Pinch Roll","대수리","2011-10-04","2011-10-11","168","","1POL","산세 입측라인","SEO26FF"
"Coil Uncoiler","대수리","2011-10-04","2011-10-11","168","","1POL","산세 전 코일 준비라인","SEO26FF"
"Coil Opener","대수리","2011-10-04","2011-10-11","168","","1POL","산세 전 코일 준비라인","SEO26FF"
"Coil Preparation Table","대수리","2011-10-04","2011-10-11","168","","1POL","산세 전 코일 준비라인","SEO26FF"
"Pickling Tank","대수리","2012-09-12","2012-09-19","168","","1POL","산세라인","SEO26FF"
"Acid Circulation Pump","대수리","2012-09-12","2012-09-19","168","","1POL","산세라인","SEO26FF"
"Acid Heating System","대수리","2012-09-12","2012-09-19","168","","1POL","산세 탕조라인","SEO26FF"
"Rinse Tank","대수리","2012-09-12","2012-09-19","168","","1POL","산세 후 수세라인","SEO26FF"
"Rinse Water Pump","대수리","2012-09-12","2012-09-19","168","","1POL","산세 후 수세라인","SEO26FF"
"Hot Air Dryer","대수리","2012-09-12","2012-09-19","168","","1POL","산세 후 건조라인","SEO26FF"
"Oiler","대수리","2012-09-12","2012-09-19","168","","1POL","유처리라인","SEO26FF"
"Oil Filtration Unit","대수리","2012-09-12","2012-09-19","168","","1POL","유처리라인","SEO26FF"
"Tension Reel","대수리","2012-09-12","2012-09-19","168","","1POL","POL 출측라인","SEO26FF"
"Recoiler","대수리","2012-09-12","2012-09-19","168","","1POL","POL 코일 재권취라인","SEO26FF"
"Uncoiler","대수리","2012-09-12","2012-09-19","168","","1POL","POL 코일 재권취라인","SEO26FF"
"Crop Shear","대수리","2012-09-12","2012-09-19","168","","1POL","POL 코일 절단·분할라인","SEO26FF"
"Slitter","대수리","2012-09-12","2012-09-19","168","","1POL","POL 코일 절단·분할라인","SEO26FF"
"Coil Transfer Car","대수리","2012-09-12","2012-09-19","168","","1POL","POL 코일 저장·출하라인","SEO26FF"
"Roll Grinding Machine","대수리","2012-09-12","2012-09-19","168","","1POL","롤 연삭라인","SEO26FF"
"Roll Change Car","대수리","2012-09-12","2012-09-19","168","","1POL","롤 조립·교체라인","SEO26FF"
"Lubrication Unit","대수리","2012-09-12","2012-09-19","168","","1POL","압연유·윤활유 공급라인","SEO26FF"
"Cooling Water Pump","대수리","2012-09-12","2012-09-19","168","","1POL","냉각수 순환라인","SEO26FF"
"Cooling Tower","대수리","2012-09-12","2012-09-19","168","","1POL","냉각수 순환라인","SEO26FF"
"Wastewater Treatment Tank","대수리","2012-09-12","2012-09-19","168","","1POL","폐수·산세액 처리라인","SEO26FF"
"Acid Regeneration Plant","대수리","2012-09-12","2012-09-19","168","","1POL","산세 산액 재생라인","SEO26FF"
"Scale Pit","대수리","2012-09-12","2012-09-19","168","","1POL","열연 공정 배수·슬러지 처리라인","SEO26FF"
"Sludge Dewatering Unit","대수리","2012-09-12","2012-09-19","168","","1POL","열연 공정 배수·슬러지 처리라인","SEO26FF"
"Overhead Crane","대수리","2012-09-12","2012-09-19","168","","1POL","코일 야드 운영라인","SEO26FF"
"Entry Coil Car","대수리","2012-09-12","2012-09-19","168","","1POL","산세 입측라인","SEO26FF"
"Payoff Reel","대수리","2012-09-12","2012-09-19","168","","1POL","산세 입측라인","SEO26FF"
"Entry Pinch Roll","대수리","2012-09-12","2012-09-19","168","","1POL","산세 입측라인","SEO26FF"
"Coil Uncoiler","대수리","2012-09-12","2012-09-19","168","","1POL","산세 전 코일 준비라인","SEO26FF"
"Coil Opener","대수리","2012-09-12","2012-09-19","168","","1POL","산세 전 코일 준비라인","SEO26FF"
"Coil Preparation Table","대수리","2012-09-12","2012-09-19","168","","1POL","산세 전 코일 준비라인","SEO26FF"
"Pickling Tank","대수리","2013-09-09","2013-09-13","96","","1POL","산세라인","SEO26FF"
"Acid Circulation Pump","대수리","2013-09-09","2013-09-13","96","","1POL","산세라인","SEO26FF"
"Acid Heating System","대수리","2013-09-09","2013-09-13","96","","1POL","산세 탕조라인","SEO26FF"
"Rinse Tank","대수리","2013-09-09","2013-09-13","96","","1POL","산세 후 수세라인","SEO26FF"
"Rinse Water Pump","대수리","2013-09-09","2013-09-13","96","","1POL","산세 후 수세라인","SEO26FF"
"Hot Air Dryer","대수리","2013-09-09","2013-09-13","96","","1POL","산세 후 건조라인","SEO26FF"
"Oiler","대수리","2013-09-09","2013-09-13","96","","1POL","유처리라인","SEO26FF"
"Oil Filtration Unit","대수리","2013-09-09","2013-09-13","96","","1POL","유처리라인","SEO26FF"
"Tension Reel","대수리","2013-09-09","2013-09-13","96","","1POL","POL 출측라인","SEO26FF"
"Recoiler","대수리","2013-09-09","2013-09-13","96","","1POL","POL 코일 재권취라인","SEO26FF"
"Uncoiler","대수리","2013-09-09","2013-09-13","96","","1POL","POL 코일 재권취라인","SEO26FF"
"Crop Shear","대수리","2013-09-09","2013-09-13","96","","1POL","POL 코일 절단·분할라인","SEO26FF"
"Slitter","대수리","2013-09-09","2013-09-13","96","","1POL","POL 코일 절단·분할라인","SEO26FF"
"Coil Transfer Car","대수리","2013-09-09","2013-09-13","96","","1POL","POL 코일 저장·출하라인","SEO26FF"
"Roll Grinding Machine","대수리","2013-09-09","2013-09-13","96","","1POL","롤 연삭라인","SEO26FF"
"Roll Change Car","대수리","2013-09-09","2013-09-13","96","","1POL","롤 조립·교체라인","SEO26FF"
"Lubrication Unit","대수리","2013-09-09","2013-09-13","96","","1POL","압연유·윤활유 공급라인","SEO26FF"
"Cooling Water Pump","대수리","2013-09-09","2013-09-13","96","","1POL","냉각수 순환라인","SEO26FF"
"Cooling Tower","대수리","2013-09-09","2013-09-13","96","","1POL","냉각수 순환라인","SEO26FF"
"Wastewater Treatment Tank","대수리","2013-09-09","2013-09-13","96","","1POL","폐수·산세액 처리라인","SEO26FF"
"Acid Regeneration Plant","대수리","2013-09-09","2013-09-13","96","","1POL","산세 산액 재생라인","SEO26FF"
"Scale Pit","대수리","2013-09-09","2013-09-13","96","","1POL","열연 공정 배수·슬러지 처리라인","SEO26FF"
"Sludge Dewatering Unit","대수리","2013-09-09","2013-09-13","96","","1POL","열연 공정 배수·슬러지 처리라인","SEO26FF"
"Overhead Crane","대수리","2013-09-09","2013-09-13","96","","1POL","코일 야드 운영라인","SEO26FF"
"Entry Coil Car","대수리","2013-09-09","2013-09-13","96","","1POL","산세 입측라인","SEO26FF"
"Payoff Reel","대수리","2013-09-09","2013-09-13","96","","1POL","산세 입측라인","SEO26FF"
"Entry Pinch Roll","대수리","2013-09-09","2013-09-13","96","","1POL","산세 입측라인","SEO26FF"
"Coil Uncoiler","대수리","2013-09-09","2013-09-13","96","","1POL","산세 전 코일 준비라인","SEO26FF"
"Coil Opener","대수리","2013-09-09","2013-09-13","96","","1POL","산세 전 코일 준비라인","SEO26FF"
"Coil Preparation Table","대수리","2013-09-09","2013-09-13","96","","1POL","산세 전 코일 준비라인","SEO26FF"
"Pickling Tank","대수리","2014-10-15","2014-10-22","168","","1POL","산세라인","SEO26FF"
"Acid Circulation Pump","대수리","2014-10-15","2014-10-22","168","","1POL","산세라인","SEO26FF"
"Acid Heating System","대수리","2014-10-15","2014-10-22","168","","1POL","산세 탕조라인","SEO26FF"
"Rinse Tank","대수리","2014-10-15","2014-10-22","168","","1POL","산세 후 수세라인","SEO26FF"
"Rinse Water Pump","대수리","2014-10-15","2014-10-22","168","","1POL","산세 후 수세라인","SEO26FF"
"Hot Air Dryer","대수리","2014-10-15","2014-10-22","168","","1POL","산세 후 건조라인","SEO26FF"
"Oiler","대수리","2014-10-15","2014-10-22","168","","1POL","유처리라인","SEO26FF"
"Oil Filtration Unit","대수리","2014-10-15","2014-10-22","168","","1POL","유처리라인","SEO26FF"
"Tension Reel","대수리","2014-10-15","2014-10-22","168","","1POL","POL 출측라인","SEO26FF"
"Recoiler","대수리","2014-10-15","2014-10-22","168","","1POL","POL 코일 재권취라인","SEO26FF"
"Uncoiler","대수리","2014-10-15","2014-10-22","168","","1POL","POL 코일 재권취라인","SEO26FF"
"Crop Shear","대수리","2014-10-15","2014-10-22","168","","1POL","POL 코일 절단·분할라인","SEO26FF"
"Slitter","대수리","2014-10-15","2014-10-22","168","","1POL","POL 코일 절단·분할라인","SEO26FF"
"Coil Transfer Car","대수리","2014-10-15","2014-10-22","168","","1POL","POL 코일 저장·출하라인","SEO26FF"
"Roll Grinding Machine","대수리","2014-10-15","2014-10-22","168","","1POL","롤 연삭라인","SEO26FF"
"Roll Change Car","대수리","2014-10-15","2014-10-22","168","","1POL","롤 조립·교체라인","SEO26FF"
"Lubrication Unit","대수리","2014-10-15","2014-10-22","168","","1POL","압연유·윤활유 공급라인","SEO26FF"
"Cooling Water Pump","대수리","2014-10-15","2014-10-22","168","","1POL","냉각수 순환라인","SEO26FF"
"Cooling Tower","대수리","2014-10-15","2014-10-22","168","","1POL","냉각수 순환라인","SEO26FF"
"Wastewater Treatment Tank","대수리","2014-10-15","2014-10-22","168","","1POL","폐수·산세액 처리라인","SEO26FF"
"Acid Regeneration Plant","대수리","2014-10-15","2014-10-22","168","","1POL","산세 산액 재생라인","SEO26FF"
"Scale Pit","대수리","2014-10-15","2014-10-22","168","","1POL","열연 공정 배수·슬러지 처리라인","SEO26FF"
"Sludge Dewatering Unit","대수리","2014-10-15","2014-10-22","168","","1POL","열연 공정 배수·슬러지 처리라인","SEO26FF"
"Overhead Crane","대수리","2014-10-15","2014-10-22","168","","1POL","코일 야드 운영라인","SEO26FF"
"Entry Coil Car","대수리","2014-10-15","2014-10-22","168","","1POL","산세 입측라인","SEO26FF"
"Payoff Reel","대수리","2014-10-15","2014-10-22","168","","1POL","산세 입측라인","SEO26FF"
"Entry Pinch Roll","대수리","2014-10-15","2014-10-22","168","","1POL","산세 입측라인","SEO26FF"
"Coil Uncoiler","대수리","2014-10-15","2014-10-22","168","","1POL","산세 전 코일 준비라인","SEO26FF"
"Coil Opener","대수리","2014-10-15","2014-10-22","168","","1POL","산세 전 코일 준비라인","SEO26FF"
"Coil Preparation Table","대수리","2014-10-15","2014-10-22","168","","1POL","산세 전 코일 준비라인","SEO26FF"
"Pickling Tank","대수리","2015-10-16","2015-10-23","168","","1POL","산세라인","SEO26FF"
"Acid Circulation Pump","대수리","2015-10-16","2015-10-23","168","","1POL","산세라인","SEO26FF"
"Acid Heating System","대수리","2015-10-16","2015-10-23","168","","1POL","산세 탕조라인","SEO26FF"
"Rinse Tank","대수리","2015-10-16","2015-10-23","168","","1POL","산세 후 수세라인","SEO26FF"
"Rinse Water Pump","대수리","2015-10-16","2015-10-23","168","","1POL","산세 후 수세라인","SEO26FF"
"Hot Air Dryer","대수리","2015-10-16","2015-10-23","168","","1POL","산세 후 건조라인","SEO26FF"
"Oiler","대수리","2015-10-16","2015-10-23","168","","1POL","유처리라인","SEO26FF"
"Oil Filtration Unit","대수리","2015-10-16","2015-10-23","168","","1POL","유처리라인","SEO26FF"
"Tension Reel","대수리","2015-10-16","2015-10-23","168","","1POL","POL 출측라인","SEO26FF"
"Recoiler","대수리","2015-10-16","2015-10-23","168","","1POL","POL 코일 재권취라인","SEO26FF"
"Uncoiler","대수리","2015-10-16","2015-10-23","168","","1POL","POL 코일 재권취라인","SEO26FF"
"Crop Shear","대수리","2015-10-16","2015-10-23","168","","1POL","POL 코일 절단·분할라인","SEO26FF"
"Slitter","대수리","2015-10-16","2015-10-23","168","","1POL","POL 코일 절단·분할라인","SEO26FF"
"Coil Transfer Car","대수리","2015-10-16","2015-10-23","168","","1POL","POL 코일 저장·출하라인","SEO26FF"
"Roll Grinding Machine","대수리","2015-10-16","2015-10-23","168","","1POL","롤 연삭라인","SEO26FF"
"Roll Change Car","대수리","2015-10-16","2015-10-23","168","","1POL","롤 조립·교체라인","SEO26FF"
"Lubrication Unit","대수리","2015-10-16","2015-10-23","168","","1POL","압연유·윤활유 공급라인","SEO26FF"
"Cooling Water Pump","대수리","2015-10-16","2015-10-23","168","","1POL","냉각수 순환라인","SEO26FF"
"Cooling Tower","대수리","2015-10-16","2015-10-23","168","","1POL","냉각수 순환라인","SEO26FF"
"Wastewater Treatment Tank","대수리","2015-10-16","2015-10-23","168","","1POL","폐수·산세액 처리라인","SEO26FF"
"Acid Regeneration Plant","대수리","2015-10-16","2015-10-23","168","","1POL","산세 산액 재생라인","SEO26FF"
"Scale Pit","대수리","2015-10-16","2015-10-23","168","","1POL","열연 공정 배수·슬러지 처리라인","SEO26FF"
"Sludge Dewatering Unit","대수리","2015-10-16","2015-10-23","168","","1POL","열연 공정 배수·슬러지 처리라인","SEO26FF"
"Overhead Crane","대수리","2015-10-16","2015-10-23","168","","1POL","코일 야드 운영라인","SEO26FF"
"Entry Coil Car","대수리","2015-10-16","2015-10-23","168","","1POL","산세 입측라인","SEO26FF"
"Payoff Reel","대수리","2015-10-16","2015-10-23","168","","1POL","산세 입측라인","SEO26FF"
"Entry Pinch Roll","대수리","2015-10-16","2015-10-23","168","","1POL","산세 입측라인","SEO26FF"
"Coil Uncoiler","대수리","2015-10-16","2015-10-23","168","","1POL","산세 전 코일 준비라인","SEO26FF"
"Coil Opener","대수리","2015-10-16","2015-10-23","168","","1POL","산세 전 코일 준비라인","SEO26FF"
"Coil Preparation Table","대수리","2015-10-16","2015-10-23","168","","1POL","산세 전 코일 준비라인","SEO26FF"
"Pickling Tank","대수리","2016-09-23","2016-09-30","168","","1POL","산세라인","SEO26FF"
"Acid Circulation Pump","대수리","2016-09-23","2016-09-30","168","","1POL","산세라인","SEO26FF"
"Acid Heating System","대수리","2016-09-23","2016-09-30","168","","1POL","산세 탕조라인","SEO26FF"
"Rinse Tank","대수리","2016-09-23","2016-09-30","168","","1POL","산세 후 수세라인","SEO26FF"
"Rinse Water Pump","대수리","2016-09-23","2016-09-30","168","","1POL","산세 후 수세라인","SEO26FF"
"Hot Air Dryer","대수리","2016-09-23","2016-09-30","168","","1POL","산세 후 건조라인","SEO26FF"
