q,dept,targetIns,reasonIns,gradeIns,signalIns,statusIns,targetPln,reasonPln,gradePln,signalPln,statusPln
Q1077285,SEO26FF,14,"비핵심보험[B] μ_LT+SS(Z1.65)=14,상한60→14",B,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1077340,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1077367,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한2→2",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1077400,SEO26FF,4,"핵심보험[A] μ_LT+SS(Z2.05)=4,상한0,기준1→4",A,yellow,발주임박,0,핵심설비 계획품이나 3년무소요→0,A,gray,재고충분
Q1077476,SEO26FF,2,"핵심보험[C] μ_LT+SS(Z1.28)=2,상한2,기준1→2",C,green,여유,0,핵심설비 계획품이나 3년무소요→0,C,gray,재고충분
Q1077486,SEO26FF,3,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한6→3",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1077487,SEO26FF,3,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한6→3",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1077622,SEO26FF,1,"핵심보험[S] μ_LT+SS(Z2.58)=1,상한1,기준1→1",S,green,여유,0,핵심설비 계획품이나 소요비활발(λ0.5)→0,S,gray,재고충분
Q1077624,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한1→1",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1077646,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한1→1",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1077670,SEO26FF,10,"비핵심보험[B] μ_LT+SS(Z1.65)=10,상한20→10",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1077676,SEO26FF,16,"비핵심보험[B] μ_LT+SS(Z1.65)=16,상한24→16",B,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1077684,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1077685,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한2→1",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1077724,SEO26FF,3,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한4→3",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1077747,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한4→2",B,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1077761,SEO26FF,8,"비핵심보험[B] μ_LT+SS(Z1.65)=8,상한20→8",B,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1077763,SEO26FF,4,"비핵심보험[B] μ_LT+SS(Z1.65)=4,상한6→4",B,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1077776,SEO26FF,5,"비핵심보험[B] μ_LT+SS(Z1.65)=5,상한10→5",B,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1077777,SEO26FF,6,"비핵심보험[C] μ_LT+SS(Z1.28)=6,상한23→6",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1077786,SEO26FF,5,"비핵심보험[B] μ_LT+SS(Z1.65)=5,상한13→5",B,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1077922,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한1→1",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1077925,SEO26FF,4,"비핵심보험[B] μ_LT+SS(Z1.65)=4,상한4→4",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1077941,SEO26FF,4,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한4→4",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1078004,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한2→2",C,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1078005,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한1→1",B,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1078241,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1078244,SEO26FF,0,비핵심보험[B] 소요無→0,B,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1078248,SEO26FF,2,"핵심보험[A] μ_LT+SS(Z2.05)=2,상한2,기준1→2",A,green,여유,0,핵심설비 계획품이나 3년무소요→0,A,gray,재고충분
Q1078249,SEO26FF,1,"핵심보험[A] μ_LT+SS(Z2.05)=1,상한1,기준1→1",A,green,여유,0,핵심설비 계획품이나 3년무소요→0,A,gray,재고충분
Q1078283,SEO26FF,4,"핵심보험[S] μ_LT+SS(Z2.58)=4,상한4,기준2→4",S,red,즉시발주,0,핵심설비 계획품이나 소요비활발(λ0.7)→0,S,gray,재고불요
Q1080083,SEO26FF,1,"핵심보험[A] μ_LT+SS(Z2.05)=1,상한1,기준1→1",A,green,여유,0,핵심설비 계획품이나 소요비활발(λ0.2)→0,A,gray,재고충분
Q1080084,SEO26FF,1,"핵심보험[A] μ_LT+SS(Z2.05)=1,상한1,기준1→1",A,green,여유,0,핵심설비 계획품이나 소요비활발(λ0.2)→0,A,gray,재고충분
Q1080117,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한2→2",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1080496,SEO26FF,2,"핵심보험[A] μ_LT+SS(Z2.05)=2,상한2,기준1→2",A,green,여유,0,핵심설비 계획품이나 소요비활발(λ0.1)→0,A,gray,재고충분
Q1080541,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한2→1",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1080794,SEO26FF,4,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한4→4",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1080969,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1080970,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1113604,SEO26FF,12,"비핵심보험[B] μ_LT+SS(Z1.65)=12,상한48→12",B,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1117822,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1119268,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1119452,SEO26FF,9,"비핵심보험[B] μ_LT+SS(Z1.65)=9,상한24→9",B,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1119526,SEO26FF,3,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한5→3",C,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1119649,SEO26FF,7,"비핵심보험[C] μ_LT+SS(Z1.28)=7,상한20→7",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1119795,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한1→1",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1120753,SEO26FF,3,"비핵심보험[B] μ_LT+SS(Z1.65)=3,상한3→3",B,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1121188,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한1→1",C,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1121309,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한2→2",C,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1122097,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1137969,SEO26FF,1,핵심보험[S] 소요無→기준1,S,gray,충분,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1201276,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한3→2",B,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1201564,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한10→2",C,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1204795,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한2→2",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1204949,SEO26FF,4,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한10→4",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1218357,SEO26FF,1,핵심보험[S] 소요無→기준1,S,gray,충분,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1218391,SEO26FF,1,핵심보험[S] 소요無→기준1,S,green,여유,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1218393,SEO26FF,1,핵심보험[S] 소요無→기준1,S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1219164,SEO26FF,1,"핵심보험[S] μ_LT+SS(Z2.58)=1,상한0,기준1→1",S,gray,충분,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1260654,SEO26FF,1,핵심보험[S] 소요無→기준1,S,gray,충분,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1269776,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한4→2",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1292612,SEO26FF,6,"핵심보험[S] μ_LT+SS(Z2.58)=6,상한8,기준4→6",S,red,즉시발주,1,핵심설비계획품 소요활발(λ1.0)→소량1,S,red,즉시발주
Q1293261,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한2→1",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1297201,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한5→2",B,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1297240,SEO26FF,3,"비핵심보험[B] μ_LT+SS(Z1.65)=3,상한4→3",B,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1305036,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1308654,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1314441,SEO26FF,1,핵심보험[S] 소요無→기준1,S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1316039,SEO26FF,1,핵심보험[S] 소요無→기준1,S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q2008527,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한0→1",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2010934,SEO26FF,2,핵심보험[S] 소요無→기준2,S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q2011794,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2011846,SEO26FF,10,"비핵심보험[B] μ_LT+SS(Z1.65)=10,상한0→10",B,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2013987,SEO26FF,3,"핵심보험[S] μ_LT+SS(Z2.58)=3,상한4,기준1→3",S,yellow,발주임박,0,핵심설비 계획품이나 소요비활발(λ0.4)→0,S,gray,재고불요
Q2015221,SEO26FF,4,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한4→4",C,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2018730,SEO26FF,5,"비핵심보험[C] μ_LT+SS(Z1.28)=5,상한8→5",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2019637,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한3→2",B,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2024559,SEO26FF,3,"핵심보험[S] μ_LT+SS(Z2.58)=2,상한3,기준3→3",S,red,즉시발주,0,핵심설비 계획품이나 소요비활발(λ0.4)→0,S,gray,재고불요
Q2024605,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한2→2",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2026952,SEO26FF,3,"비핵심보험[B] μ_LT+SS(Z1.65)=3,상한4→3",B,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2028061,SEO26FF,2,"핵심보험[S] μ_LT+SS(Z2.58)=2,상한2,기준1→2",S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q2028134,SEO26FF,1,"핵심보험[S] μ_LT+SS(Z2.58)=1,상한0,기준1→1",S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q2028329,SEO26FF,2,"핵심보험[A] μ_LT+SS(Z2.05)=2,상한3,기준1→2",A,yellow,발주임박,0,핵심설비 계획품이나 소요비활발(λ0.5)→0,A,gray,재고불요
Q2032488,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한4→2",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2032490,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한2→1",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2032491,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한2→1",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2038307,SEO26FF,4,"비핵심보험[B] μ_LT+SS(Z1.65)=4,상한7→4",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2039356,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2040220,SEO26FF,3,"비핵심보험[B] μ_LT+SS(Z1.65)=3,상한6→3",B,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2042214,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한3→2",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2045742,SEO26FF,1,핵심보험[S] 소요無→기준1,S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q2052411,SEO26FF,1,핵심보험[A] 소요無→기준1,A,gray,충분,0,핵심설비 계획품이나 3년무소요→0,A,gray,재고충분
Q2054201,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한3→2",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2054727,SEO26FF,21,"핵심보험[S] μ_LT+SS(Z2.58)=21,상한30,기준1→21",S,yellow,발주임박,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q2055671,SEO26FF,6,"비핵심보험[C] μ_LT+SS(Z1.28)=10,상한6→6",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고충분
Q2055672,SEO26FF,8,"비핵심보험[B] μ_LT+SS(Z1.65)=8,상한24→8",B,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2055698,SEO26FF,10,"비핵심보험[C] μ_LT+SS(Z1.28)=10,상한30→10",C,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2056110,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한2→1",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2059079,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2059080,SEO26FF,5,"비핵심보험[C] μ_LT+SS(Z1.28)=5,상한5→5",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2059081,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한0→2",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2059082,SEO26FF,7,"비핵심보험[C] μ_LT+SS(Z1.28)=7,상한10→7",C,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2059083,SEO26FF,8,"비핵심보험[C] μ_LT+SS(Z1.28)=8,상한0→8",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2059088,SEO26FF,4,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한12→4",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2060148,SEO26FF,14,"비핵심보험[C] μ_LT+SS(Z1.28)=14,상한40→14",C,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2060154,SEO26FF,5,"비핵심보험[B] μ_LT+SS(Z1.65)=5,상한5→5",B,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2060222,SEO26FF,16,"비핵심보험[B] μ_LT+SS(Z1.65)=16,상한60→16",B,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2060332,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한2→1",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2060337,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한1→1",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2060460,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한2→1",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2060462,SEO26FF,2,"핵심보험[S] μ_LT+SS(Z2.58)=3,상한2,기준2→2",S,yellow,발주임박,0,핵심설비 계획품이나 소요비활발(λ0.5)→0,S,gray,재고불요
Q2060463,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한3→2",C,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2060465,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한2→1",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2060474,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한3→2",B,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2062201,SEO26FF,1,핵심보험[S] 소요無→기준1,S,green,여유,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q2064661,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한6→2",C,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2064662,SEO26FF,3,"비핵심보험[A] μ_LT+SS(Z2.05)=3,상한7→3",A,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),A,gray,재고불요
Q2065292,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2066145,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한2→2",B,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2068400,SEO26FF,4,"핵심보험[A] μ_LT+SS(Z2.05)=4,상한6,기준1→4",A,yellow,발주임박,0,핵심설비 계획품이나 소요비활발(λ0.5)→0,A,gray,재고불요
Q2070790,SEO26FF,3,"핵심보험[S] μ_LT+SS(Z2.58)=3,상한4,기준2→3",S,red,즉시발주,0,핵심설비 계획품이나 소요비활발(λ0.9)→0,S,gray,재고불요
Q2070791,SEO26FF,5,"핵심보험[S] μ_LT+SS(Z2.58)=5,상한6,기준1→5",S,yellow,발주임박,1,핵심설비계획품 소요활발(λ1.0)→소량1,S,gray,충분
Q2070796,SEO26FF,2,"핵심보험[S] μ_LT+SS(Z2.58)=2,상한3,기준1→2",S,green,여유,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q2070797,SEO26FF,3,"핵심보험[S] μ_LT+SS(Z2.58)=3,상한4,기준1→3",S,red,즉시발주,1,핵심설비계획품 소요활발(λ1.0)→소량1,S,green,여유
Q2070800,SEO26FF,3,"핵심보험[S] μ_LT+SS(Z2.58)=3,상한4,기준1→3",S,gray,충분,0,핵심설비 계획품이나 소요비활발(λ0.8)→0,S,gray,재고불요
Q2070801,SEO26FF,4,"핵심보험[S] μ_LT+SS(Z2.58)=4,상한8,기준2→4",S,green,여유,0,핵심설비 계획품이나 소요비활발(λ0.8)→0,S,gray,재고충분
Q2074351,SEO26FF,0,비핵심보험[B] 소요無→0,B,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2074769,SEO26FF,4,"핵심보험[S] μ_LT+SS(Z2.58)=4,상한8,기준2→4",S,red,즉시발주,0,핵심설비 계획품이나 소요비활발(λ0.5)→0,S,gray,재고불요
Q2076004,SEO26FF,4,"비핵심보험[A] μ_LT+SS(Z2.05)=5,상한4→4",A,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),A,gray,재고불요
Q2076458,SEO26FF,5,"비핵심보험[C] μ_LT+SS(Z1.28)=5,상한5→5",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2076463,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2079650,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2079652,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2079654,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2079803,SEO26FF,4,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한4→4",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고충분
Q2082726,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2082954,SEO26FF,4,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한0→4",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2084886,SEO26FF,4,"비핵심보험[B] μ_LT+SS(Z1.65)=4,상한8→4",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2086017,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한2→1",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2086434,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한2→1",B,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고충분
Q2086435,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한1→1",B,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2086682,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q2087261,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한2→2",B,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2087833,SEO26FF,4,"비핵심보험[B] μ_LT+SS(Z1.65)=4,상한4→4",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2088228,SEO26FF,1,핵심보험[S] 소요無→기준1,S,gray,충분,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q2091278,SEO26FF,2,"핵심보험[S] μ_LT+SS(Z2.58)=2,상한1,기준2→2",S,yellow,발주임박,0,핵심설비 계획품이나 소요비활발(λ0.1)→0,S,gray,재고불요
Q2091279,SEO26FF,1,"핵심보험[S] μ_LT+SS(Z2.58)=1,상한1,기준1→1",S,green,여유,1,핵심설비계획품 소요활발(λ1.3)→소량1,S,green,여유
Q2094313,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한2→2",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2094703,SEO26FF,1,"핵심보험[S] μ_LT+SS(Z2.58)=2,상한1,기준1→1",S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q2095005,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한1→1",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2095006,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한1→1",B,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2095020,SEO26FF,4,"핵심보험[A] μ_LT+SS(Z2.05)=4,상한8,기준1→4",A,gray,충분,0,핵심설비 계획품이나 3년무소요→0,A,gray,재고충분
Q2095032,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한1→1",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q2095281,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한6→2",C,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
