q,dept,name,group,type,csp,ceq,wh,stockDept,stockAll,suppliers,price,ltMean,ltStd,cycles,proc,recvDate,eq,holdStd
Q1077763,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,7,7,1,101000,66.75,15.91,8,국내,2026-05-12,,
Q1077776,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),계획품,X,X,QFC01,4,4,4,5450000,79.19,29.91,16,국내,2026-04-23,,
Q1077777,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),계획품,X,X,QFC01,12,12,3,1680000,61.1,16.6,30,국내,2026-04-08,,
Q1077786,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,1,1,1,1180494.44,65.5,33.88,12,국내,2025-08-28,,
Q1077922,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QHB25,1,1,0,1100000,,,0,(미확인),,,
Q1077925,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,4,4,1,1130000,60,2.83,2,국내,2023-04-21,,
Q1077941,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QHB25,4,4,2,195000,49.33,6.51,3,국내,2026-02-02,,
Q1078004,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,1,3,2,116025,58.8,13.44,5,국내,2018-09-14,,
Q1078005,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QHB25,2,2,1,580000,60,16.97,2,국내,2025-11-06,,
Q1078241,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,1,1,1,465000,53,0,1,국내,2015-04-22,,
Q1078244,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,1,1,1,415000,70,0,1,국내,2022-02-09,,
Q1078248,SEO26FF,Machining(General),Q_Machining(General),보험품,X,O,QFC01,2,2,1,150000,48.75,13.12,8,국내,2024-09-12,FM Main Motor,
Q1078249,SEO26FF,Machining(General),Q_Machining(General),보험품,X,O,QFC01,1,1,1,141000,52.17,14.63,6,국내,2023-04-11,FM Main Motor,
Q1078283,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,보험품,O,X,QFC01,0,5,1,5949060,211.45,41.43,11,국내,2026-07-23,,2
Q1080083,SEO26FF,Bolt & Nut,Q_Bolt & Nut,계획품,X,O,QFC01,1,1,0,1750000,,,0,(미확인),,FM Screw Down,
Q1080084,SEO26FF,Bolt & Nut,Q_Bolt & Nut,계획품,X,O,QFC01,1,1,0,1750000,,,0,(미확인),,FM Screw Down,
Q1080117,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,2,2,1,20500,60,0,1,국내,2016-11-30,,
Q1080496,SEO26FF,Roller(S),Q_Roller(S),계획품,X,O,QFC01,2,2,5,25000,93.75,126.6,12,국내,2026-08-24,FM Roll Alignment,
Q1080541,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,1,1,5,650000,53.5,10.45,6,국내,2026-08-20,,
Q1080794,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QHB25,4,4,1,214800,45.5,9.19,2,국내,2025-11-07,,
Q1080969,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,2,2,1,135000,44,0,1,국내,2020-04-17,,
Q1080970,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,1,1,1,125000,44,0,1,국내,2020-04-17,,
Q1113604,SEO26FF,Steel Material,Q_Steel Material,계획품,X,X,QVC07,24,24,1,837206,43.5,27.9,8,국내,2024-04-18,,
Q1117822,SEO26FF,Manual Valve,Q_Manual Valve,보험품,X,X,QHB24,1,1,1,1029700,52.5,20.42,6,국내,2026-06-09,,
Q1119268,SEO26FF,Fitting,Q_Fitting,계획품,X,X,QHB24,60,60,1,23591,25,9.63,4,국내,2026-08-19,,
Q1119452,SEO26FF,Fitting,Q_Fitting,계획품,X,X,QFC01,2,2,2,30636.98,102.05,142.5,19,수입,2026-05-28,,
Q1119526,SEO26FF,Fitting,Q_Fitting,보험품,X,X,QFC01,0,2,9,317753,33.22,17.8,18,수입,2026-08-27,,
Q1119649,SEO26FF,Fitting,Q_Fitting,보험품,X,X,QFC01,20,90,4,103889.63,88.19,96.14,21,수입,2026-06-11,,
Q1119795,SEO26FF,Fitting,Q_Fitting,보험품,X,X,QFC01,1,6,3,728590.2,125,128.76,13,수입,2026-08-31,,
Q1120753,SEO26FF,Fitting,Q_Fitting,보험품,X,X,QFC01,2,2,2,91511.6,241,170.44,534,수입,2026-08-12,,
Q1121188,SEO26FF,Fitting,Q_Fitting,보험품,X,X,QFC01,0,0,1,384451,31.55,17.61,11,국내,2026-03-11,,
Q1121309,SEO26FF,Fitting,Q_Fitting,계획품,X,X,QFC01,1,1,1,63430.17,38.25,12.01,4,국내,2022-08-25,,
Q1122097,SEO26FF,Bolt & Nut,Q_Bolt & Nut,보험품,X,X,QFC01,100,100,1,1003,35.12,21.83,8,국내,2025-05-15,,
Q1137969,SEO26FF,Electrical & Electron,Q_Electrical & Electron,보험품,O,X,QFC01,4,18,2,9302622.96,223.31,78.07,16,수입,2022-04-27,,1
Q1201276,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,보험품,X,X,QFC01,1,1,1,475153,60.14,41.4,7,국내,2025-11-11,,
Q1201564,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,보험품,X,X,QFC01,1,3,1,98467200,125.17,87.96,23,국내,2026-08-20,,
Q1204795,SEO26FF,Packing & Seal,Q_Packing & Seal,보험품,X,X,QFC01,12,12,1,16373,30.25,23.29,8,국내,2022-01-10,,
Q1204949,SEO26FF,Packing & Seal,Q_Packing & Seal,보험품,X,X,QFC01,13,33,1,1880.35,71.71,55.88,31,국내,2026-05-08,,
Q1218357,SEO26FF,Electrical & Electron,Q_Electrical & Electron,보험품,O,X,QFC01,3,4,1,10789575.13,237.6,35.96,5,수입,2017-02-09,,1
Q1218391,SEO26FF,Electrical & Electron,Q_Electrical & Electron,보험품,O,X,QFC01,1,10,0,706653.71,196,66.04,0,(미확인),,,1
Q1218393,SEO26FF,Electrical & Electron,Q_Electrical & Electron,보험품,O,X,QFC01,0,3,0,2577600,196,66.04,0,(미확인),,,1
Q1219164,SEO26FF,Electrical & Electron,Q_Electrical & Electron,보험품,O,X,QFC01,3,4,2,1888444.72,111.6,63.28,5,수입,2019-07-29,,1
Q1260654,SEO26FF,Electrical & Electron,Q_Electrical & Electron,보험품,O,X,QFC01,4,20,2,440836,98.56,63.2,9,수입,2019-09-20,,1
Q1269776,SEO26FF,Spare Parts,Q_Spare Parts,보험품,X,X,QFC01,2,2,0,748071.42,,,0,(미확인),,,
Q1292612,SEO26FF,Drive Joint,Q_Drive Joint,보험품,O,X,QFC01,0,0,3,4900000,85.44,39.23,9,국내,2022-01-20,,4
Q1293261,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,계획품,X,X,QHB24,1,1,1,11770000,84,0,1,국내,2019-01-25,,
Q1297201,SEO26FF,Packing & Seal,Q_Packing & Seal,보험품,X,X,QFC01,22,22,2,342.88,73.11,62.73,38,수입,2026-02-20,,
Q1297240,SEO26FF,Ball & Roller BRG,Q_Ball & Roller BRG,계획품,X,X,QFC01,2,2,1,63716.3,42.2,13.88,5,국내,2018-09-18,,
Q1305036,SEO26FF,Packing & Seal,Q_Packing & Seal,계획품,X,X,QFC01,10,10,1,2867,30,0,1,국내,2017-06-07,,
Q1308654,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,계획품,X,X,QFC01,1,3,1,895678,137.27,49.38,15,국내,2025-02-21,,
Q1314441,SEO26FF,Electrical & Electron,Q_Electrical & Electron,보험품,O,X,QFC01,0,0,0,3598518,196,66.04,0,(미확인),,,1
Q1316039,SEO26FF,Spare Parts,Q_Spare Parts,보험품,O,X,QFC01,0,4,0,135333.42,196,66.04,0,(미확인),,,1
Q2008527,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,X,QFC01,2,2,2,74000,63.2,18.19,5,국내,2024-10-14,,
Q2010934,SEO26FF,WEDGE SEGMENT MANDREL,Q_WEDGE SEGMENT MANDREL,보험품,O,X,QFC01,0,0,0,0,196,66.04,0,(미확인),,,2
Q2011794,SEO26FF,Steel Grating,Q_Steel Grating,계획품,X,X,QHB24,6,6,3,103470,32.52,13.68,50,수입,2026-07-31,,
Q2011846,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,X,QFC01,3,3,1,545000,78,2,3,국내,2023-07-18,,
Q2013987,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,계획품,X,O,QFC01,2,2,1,5380000,125,0,1,국내,2017-06-30,FM Crop Shear,
Q2015221,SEO26FF,Ball & Roller BRG,Q_Ball & Roller BRG,계획품,X,X,QFC01,3,6,2,626687,335,404.83,3,수입,2025-05-09,,
Q2018730,SEO26FF,Drive Coupling,Q_Drive Coupling,보험품,X,X,QFC01,11,11,2,187000,55.6,14.08,5,국내,2025-09-08,,
Q2019637,SEO26FF,Drive Coupling,Q_Drive Coupling,계획품,X,X,QHB24,3,3,2,1400000,61.57,23.84,14,국내,2025-12-17,,
Q2024559,SEO26FF,Drive Joint,Q_Drive Joint,보험품,O,X,QFC01,1,3,3,9000000,82,52.02,6,국내,2019-09-16,,3
Q2024605,SEO26FF,Pneumatic Cylinder,Q_Pneumatic Cylinder,보험품,X,X,QFC01,2,2,2,17639000,140,18.38,2,국내,2025-08-12,,
Q2026952,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,X,X,QFC01,4,4,4,1923333.33,93.67,20.76,12,국내,2026-07-07,,
Q2028061,SEO26FF,Control Valve (Ready),Q_Control Valve (Ready),보험품,O,X,QFC01,0,0,2,84025400,165.82,40.63,11,국내,2026-03-09,,1
Q2028134,SEO26FF,Roller(L),Q_Roller(L),보험품,O,X,QFC01,0,0,1,9333184.34,41,0,1,국내,2021-01-05,,1
Q2028329,SEO26FF,Drive Joint,Q_Drive Joint,계획품,X,O,QFC01,1,1,2,491000,61,2.83,2,국내,2022-04-15,FM Crop Shear,
Q2032488,SEO26FF,Non/Fe Casting Metal(Others),Q_Non/Fe Casting Metal(Others),보험품,X,X,QFC01,3,3,2,460000,55,9,3,국내,2024-08-14,,
Q2032490,SEO26FF,Non/Fe Casting Metal(Others),Q_Non/Fe Casting Metal(Others),보험품,X,X,QFC01,4,4,2,430000,55,9,3,국내,2024-08-14,,
Q2032491,SEO26FF,Non/Fe Casting Metal(Others),Q_Non/Fe Casting Metal(Others),보험품,X,X,QFC01,4,4,2,540000,55,9,3,국내,2024-08-14,,
Q2038307,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,계획품,X,X,QFC01,4,4,4,950000,84.76,30.52,17,국내,2026-01-26,,
Q2039356,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QVC03,1,1,1,3450000,48,4.24,2,국내,2025-11-27,,
Q2040220,SEO26FF,Machinery Common,Q_Machinery Common,계획품,X,X,QFC01,2,2,1,3634841,70.11,15.43,18,국내,2026-02-23,,
Q2042214,SEO26FF,Drive Coupling,Q_Drive Coupling,보험품,X,X,QFC01,2,2,2,120000,40.6,18.74,5,국내,2025-09-11,,
Q2045742,SEO26FF,Electrical & Electron,Q_Electrical & Electron,보험품,O,X,QFC01,0,2,1,4099280.36,265.33,41.1,3,수입,2017-10-11,,1
Q2052411,SEO26FF,Machining(General),Q_Machining(General),보험품,X,O,QFC01,2,2,2,95000,61.33,19.14,3,국내,2023-05-02,FM Main Motor,
Q2054201,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,X,X,QFC01,2,3,3,2520000,95,29.53,5,국내,2025-07-29,,
Q2054727,SEO26FF,Electrical & Electron,Q_Electrical & Electron,보험품,O,X,QFC01,16,22,1,3945375.5,230.43,22.01,7,수입,2019-06-11,,1
Q2055671,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,8,8,2,1100,59.33,12.44,6,국내,2025-08-21,FM Main Motor,
Q2055672,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,X,X,QFC01,1,1,4,680000,107.11,29.76,9,국내,2025-11-05,,
Q2055698,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),계획품,X,X,QFC01,4,4,3,387081,61.88,7.7,8,국내,2025-09-15,,
Q2056110,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,X,X,QHB27,1,1,1,234707,83.5,30.41,2,국내,2020-01-03,,
Q2059079,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,1,1,1,90000,23,0,1,국내,2017-07-19,,
Q2059080,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,10,10,1,14200,31.67,16.62,3,국내,2018-04-09,,
Q2059081,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,10,10,2,14050,47,15.62,3,국내,2018-05-09,,
Q2059082,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,5,5,2,13000,52.5,16.22,4,국내,2018-05-08,,
Q2059083,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,10,10,2,11800,57.33,9.02,3,국내,2017-07-20,,
Q2059088,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,X,QFC01,4,4,5,130000,47.89,16.52,9,국내,2025-05-26,,
Q2060148,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,10,10,2,20000,45.67,15.31,3,국내,2025-04-30,,
Q2060154,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,2,2,1,76000,82,0,1,국내,2019-06-17,,
Q2060222,SEO26FF,Packing & Seal,Q_Packing & Seal,보험품,X,X,QFC01,5,5,2,95880.19,131.64,51.19,11,수입,2024-06-10,,
Q2060332,SEO26FF,Machinery Common,Q_Machinery Common,보험품,X,X,QVC03,1,1,1,3300693,66.33,30.89,3,국내,2022-06-21,,
Q2060337,SEO26FF,Machinery Common,Q_Machinery Common,보험품,X,X,QFC01,1,1,1,4621294,49.2,19.72,5,국내,2026-04-29,,
Q2060460,SEO26FF,Hydraulic Cylinder(Critical),Q_Hydraulic Cylinder(Critical),보험품,X,X,QVC03,2,3,4,12700000,86.29,37.57,7,국내,2026-04-07,,
Q2060462,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,계획품,O,X,QFC01,1,1,5,8030000,96.4,21.68,10,국내,2026-07-07,,2
Q2060463,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,X,X,QFC01,1,2,2,4970000,84.33,13.58,3,국내,2026-06-30,,
Q2060465,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,X,X,QFC01,1,1,3,7497000,86.75,13.79,4,국내,2022-07-20,,
Q2060474,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,X,X,QFC01,1,1,2,3490000,86.67,20.82,3,국내,2021-11-29,,
Q2062201,SEO26FF,Electrical & Electron,Q_Electrical & Electron,보험품,O,X,QFC01,1,16,2,2325187.98,188.75,90.91,16,수입,2019-10-23,,1
Q2064661,SEO26FF,Pneumatic Cylinder,Q_Pneumatic Cylinder,보험품,X,X,QFC01,1,2,2,970000,99.29,55.97,7,국내,2025-02-10,,
Q2064662,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,계획품,X,X,QHB25,2,2,1,1690000,86,45.25,2,국내,2018-11-29,,
Q2065292,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,계획품,X,X,QHB24,1,6,1,2623132,165.83,32.29,6,국내,2026-04-02,,
Q2066145,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,1,1,1,1050000,64.33,9.45,3,국내,2025-12-10,,
Q2068400,SEO26FF,Packing & Seal,Q_Packing & Seal,계획품,X,O,QFC01,2,2,1,350778,53.33,18.47,9,국내,2026-07-24,FM Crop Shear,
Q2070790,SEO26FF,Rotary/Swivel Joint,Q_Rotary/Swivel Joint,계획품,O,X,QFC01,1,1,1,2100000,51.88,8.77,8,국내,2024-12-30,,2
Q2070791,SEO26FF,Rotary/Swivel Joint,Q_Rotary/Swivel Joint,계획품,O,X,QFC01,3,3,1,2150000,59.27,41.2,22,국내,2026-03-10,,1
Q2070796,SEO26FF,Rotary/Swivel Joint,Q_Rotary/Swivel Joint,계획품,O,X,QFC01,2,2,1,1400000,62,16.79,6,국내,2026-08-13,,1
Q2070797,SEO26FF,Rotary/Swivel Joint,Q_Rotary/Swivel Joint,계획품,O,X,QFC01,1,1,2,1450000,58.33,33.32,18,국내,2026-03-10,,1
Q2070800,SEO26FF,Rotary/Swivel Joint,Q_Rotary/Swivel Joint,계획품,O,X,QFC01,4,4,1,2000000,54.43,31.58,21,국내,2026-03-19,,1
Q2070801,SEO26FF,Rotary/Swivel Joint,Q_Rotary/Swivel Joint,계획품,O,O,QFC01,4,4,2,1300000,51.38,16.92,16,국내,2026-03-10,FM Roll Alignment,2
Q2074351,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,1,1,1,17320000,120,0,1,국내,2025-12-04,,
Q2074769,SEO26FF,Drive Joint,Q_Drive Joint,보험품,O,X,QFC01,0,0,2,410000,45,19.74,9,국내,2021-09-13,,2
Q2076004,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,보험품,X,X,QFC01,2,2,1,4071265,279,51.35,6,국내,2026-01-05,,
Q2076458,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,6,6,1,25000,52.33,9.07,3,국내,2025-03-20,,
Q2076463,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QHB24,1,1,1,460000,50,0,1,국내,2025-11-13,,
Q2079650,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,2,2,1,16500,54,1.41,2,국내,2021-10-07,,
Q2079652,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,2,2,1,16500,54,1.41,2,국내,2021-10-07,,
Q2079654,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,2,2,1,16500,54,1.41,2,국내,2021-10-07,,
Q2079803,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,X,QFC01,8,8,4,1750000,54,17.34,8,국내,2023-03-03,FM Main Motor,
Q2082726,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,10,10,1,23371.88,41.5,6.14,4,국내,2025-04-15,,
Q2082954,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,10,10,2,20000,56,8.49,2,국내,2025-10-15,,
Q2084886,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,X,QFC01,4,4,1,960000,58,12.73,2,국내,2018-10-04,,
Q2086017,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,계획품,X,X,QHB27,1,1,0,1250000,72,0,1,(미확인),2026-06-25,,
Q2086434,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,보험품,X,X,QFC01,2,2,1,1185305,62,12.53,3,국내,2025-08-11,FM Main Motor,
Q2086435,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,보험품,X,X,QFC01,2,2,1,1185305,62,12.53,3,국내,2025-08-11,,
Q2086682,SEO26FF,Packing & Seal,Q_Packing & Seal,보험품,X,X,QFC01,10,12,2,2167,57.5,39.28,4,수입,2025-09-23,,
Q2087261,SEO26FF,Mechanical Seal (Ready),Q_Mechanical Seal (Ready),보험품,X,X,QFC01,1,1,1,218106.4,49.64,58.09,33,국내,2026-07-29,,
Q2087833,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,X,QFC01,4,4,1,295000,60,0,1,국내,2015-02-04,,
Q2088228,SEO26FF,Electrical & Electron,Q_Electrical & Electron,보험품,O,X,QFC01,3,5,2,5351956.83,162,72.37,11,수입,2021-01-25,,1
Q2091278,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,O,X,QFC01,1,1,2,6880000,129.5,26.16,2,국내,2023-11-08,,2
Q2091279,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,O,X,QFC01,1,1,4,5663000,93,28.31,5,국내,2026-04-02,,1
Q2094313,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,X,QFC01,2,2,0,825000,,,0,(미확인),,,
Q2094703,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,보험품,O,X,QFC01,0,0,1,18565170,113.33,48.6,3,국내,2025-12-10,,1
Q2095005,SEO26FF,Gear & Gear box,Q_Gear & Gear box,계획품,X,X,QHB24,1,1,0,810000,,,0,(미확인),,,
Q2095006,SEO26FF,Gear & Gear box,Q_Gear & Gear box,보험품,X,X,QFC01,4,4,1,2908000,118.5,3.54,2,국내,2025-10-29,,
Q2095020,SEO26FF,Machining(General),Q_Machining(General),보험품,X,O,QFC01,10,10,2,15600,44.5,4.95,2,국내,2018-02-13,FM Edge Heater,
Q2095032,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,1,1,1,12500000,104.6,30.61,5,국내,2026-03-31,,
Q2095281,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QVC03,1,1,2,1590000,61.33,8.5,3,국내,2025-06-12,,
Q2095868,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,1,1,1,56000,66,0,1,국내,2022-07-18,,
Q2096490,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,1,1,3,1253120,60.33,5.86,3,국내,2017-09-29,,
Q2097306,SEO26FF,Ball & Roller BRG,Q_Ball & Roller BRG,보험품,X,O,QFC01,12,16,2,10830.36,62,34,11,수입,2024-01-15,FM Main Motor,
Q2097711,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,계획품,X,X,QFC01,1,1,4,500000,68.93,24.69,30,국내,2026-08-25,,
Q2097972,SEO26FF,Machinery Common,Q_Machinery Common,계획품,X,X,QFC01,2,3,1,2079994,42,18.23,19,국내,2026-03-12,,
Q2098351,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QHB25,2,2,2,660000,68,19.08,3,국내,2026-04-16,,
Q2098353,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QHB25,2,2,1,550000,67.33,25.58,3,국내,2026-04-30,,
Q2098900,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QVC03,1,1,1,9500000,59,0,1,국내,2020-09-24,,
Q2100582,SEO26FF,Critical Bearing,Q_Critical Bearing,계획품,X,O,QFC01,8,14,6,794098.35,230.45,127,40,수입,2026-07-02,FM Hot Leveller,
Q2101008,SEO26FF,Rubber Class (General),Q_Rubber Class (General),보험품,X,O,QFC01,8,8,2,14444,46.5,4.2,4,국내,2024-08-26,FM Screw Down,
Q2101009,SEO26FF,Rubber Class (General),Q_Rubber Class (General),보험품,X,O,QFC01,4,4,2,13412,46.5,4.2,4,국내,2024-08-26,FM Screw Down,
Q2101010,SEO26FF,Rubber Class (General),Q_Rubber Class (General),보험품,X,O,QFC01,8,8,2,14444,46.5,4.2,4,국내,2024-08-26,FM Screw Down,
Q2101882,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QVC03,1,1,1,8900000,77,18.52,3,국내,2026-07-28,,
Q2102570,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QHB25,2,2,3,1280000,60,8.19,5,국내,2026-08-11,,
Q2104247,SEO26FF,Grease Pump,Q_Grease Pump,계획품,X,X,QFC01,2,5,2,197055,69.57,53.5,7,수입,2025-07-14,,
Q2106112,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,X,QFC01,8,8,1,875000,58,12.73,2,국내,2015-02-16,,
Q2110732,SEO26FF,Machining(General),Q_Machining(General),보험품,X,O,QFC01,1,2,1,16500000,120,0,1,국내,2026-03-10,FM Roll Alignment,
Q2110733,SEO26FF,Machining(General),Q_Machining(General),보험품,X,O,QFC01,1,1,1,16500000,99,29.7,2,국내,2026-03-10,FM Roll Alignment,
Q2116016,SEO26FF,Packing & Seal,Q_Packing & Seal,계획품,X,O,QFC01,8,8,1,404107,66.78,26.52,32,국내,2026-05-26,FM Spindle 감속기,
Q2116265,SEO26FF,Packing & Seal,Q_Packing & Seal,계획품,X,X,QHB24,5,5,1,640686,75.97,27.52,33,국내,2026-05-26,,
Q2116694,SEO26FF,Machinery Common,Q_Machinery Common,보험품,X,X,QVC03,1,1,1,1479621,55.2,25.55,5,국내,2023-02-27,,
Q2116695,SEO26FF,Machinery Common,Q_Machinery Common,보험품,X,X,QFC01,1,1,1,1400392,55.4,26.46,5,국내,2026-04-13,,
Q2117078,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,보험품,X,X,QHB27,8,8,1,10307000,171.92,59.21,13,국내,2026-07-09,,
Q2118354,SEO26FF,Packing & Seal,Q_Packing & Seal,보험품,X,X,QFC01,20,20,1,14584,41,7.62,5,국내,2022-01-21,,
Q2118643,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,보험품,X,X,QHB24,2,2,1,383420,199.5,57.63,10,국내,2026-03-10,,
Q2118996,SEO26FF,Electrical & Electron,Q_Electrical & Electron,보험품,O,X,QFC01,0,5,1,2396595,295,90.51,2,수입,2019-01-30,,1
Q2119613,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,X,QFC01,4,4,3,80000,56.5,19.43,4,국내,2024-10-14,,
Q2120491,SEO26FF,Drive Coupling,Q_Drive Coupling,보험품,X,O,QFC01,6,6,2,130000,48.9,21.12,10,국내,2025-09-01,FM Spindle 감속기,
Q2122540,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,1,1,1,11500000,115.25,31.13,4,국내,2026-03-31,FM Main Motor,
Q2124049,SEO26FF,Drive Joint,Q_Drive Joint,보험품,O,X,QFC01,0,0,3,400000,49.44,17.34,9,국내,2022-03-25,,10
Q2125396,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,2,2,4,13691500,100.78,34.48,9,국내,2025-06-30,,
Q2125412,SEO26FF,Packing & Seal,Q_Packing & Seal,계획품,X,X,QFC01,2,2,1,16049125,108.22,38.13,9,국내,2026-06-08,,
Q2125413,SEO26FF,Packing & Seal,Q_Packing & Seal,계획품,X,X,QFC01,2,2,1,14394278,94.9,24.14,20,국내,2026-05-18,,
Q2125462,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,2,2,2,14630000,82.29,29.72,14,국내,2026-05-11,,
Q2125464,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QVC03,2,2,2,18690000,86.38,15.86,8,국내,2025-07-08,,
Q2126080,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,1,1,1,3485350,83,0,1,국내,2019-11-14,,
Q2126459,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,40,40,2,2860,43,9.9,2,국내,2016-10-28,,
Q2130291,SEO26FF,Electrical & Electron,Q_Electrical & Electron,보험품,O,X,QFC01,3,13,2,6024409.5,192.17,206.76,12,수입,2020-06-04,,1
Q2130293,SEO26FF,Electrical & Electron,Q_Electrical & Electron,보험품,O,X,QFC01,0,4,0,4616560.31,196,66.04,0,(미확인),,,1
